RewardMean,DeltaOmega,Omega,ReturnsMean,NormDeltaVar,ReturnsStd,NormDeltaOmega,TimestepsStd,ITERATIONS,ConfortViolation,TimestepsMean,Wins,RewardStd,OmegaBefore,Traj
-14.284480341407109,-0.004531222817519165,23.378482790862165,-78.79319356320161,0.004157370266947127,8.7614865615673,0.004531222817519165,0.49974393443042403,1821,0,5.516,0.0,6.725667552632286,23.383014013679684,250
-14.237490576500454,0.003892891348723282,23.38237568221089,-77.85059847230448,0.004209638970715462,8.660250132849809,0.003892891348723282,0.49897494927100305,1822,0,5.468,0.0,6.73975073394185,23.378482790862165,250
-14.273614480757805,-0.003280276727597453,23.37909540548329,-78.56197410209096,0.00427232316367569,8.719153024373023,0.003280276727597453,0.4999839997439918,1823,0,5.504,0.0,6.729779483539323,23.38237568221089,250
-14.304026990243834,0.002449901359565132,23.381545306842856,-79.75925449759961,0.004312621897292069,8.587257607911507,0.002449901359565132,0.49419024676737605,1824,0,5.576,0.0,6.691071268938394,23.37909540548329,250
-14.221876849736915,0.025295464118279654,23.406840770961136,-77.53767258476566,0.00435151402395496,8.629951870358465,0.025295464118279654,0.4976906669810074,1825,0,5.452,0.0,6.744411029273067,23.381545306842856,250
-14.324134564894118,0.012873839239247786,23.419714610200383,-78.8973331834368,0.004437039285681849,8.69435683754382,0.012873839239247786,0.49993599590347565,1826,0,5.508,0.0,6.7504734599442875,23.406840770961136,250
-14.361231208268226,0.015202731730951768,23.434917341931335,-79.67611074347211,0.004496011354803431,8.676890255500501,0.015202731730951768,0.4976906669810074,1827,0,5.548,0.0,6.7381177210056205,23.419714610200383,250
-14.386839730719522,0.016319771108076253,23.45123711303941,-79.5879973903404,0.004594179856257598,8.786759742377651,0.016319771108076253,0.49897494927100305,1828,0,5.532,0.0,6.762290256614799,23.434917341931335,250
-14.411476726569674,0.017949671822918845,23.46918678486233,-79.60899743757089,0.004655011866556553,8.762927161546202,0.017949671822918845,0.4994236678412428,1829,0,5.524,0.0,6.779630440881515,23.45123711303941,250
-14.433376103985704,-0.007082492800350337,23.46210429206198,-79.09490104984167,0.004678606532294188,8.83896332446619,0.007082492800350337,0.49959983987187184,1830,0,5.48,0.0,6.823403255142974,23.46918678486233,250
-14.428812701157927,-0.016104565215304234,23.445999726846676,-79.47390035797787,0.004735244108045221,8.786576559243867,0.016104565215304234,0.49993599590347565,1831,0,5.508,0.0,6.799321545989478,23.46210429206198,250
-14.357561101728392,-0.00575424452176776,23.440245482324908,-78.44971385984394,0.004759642970077063,8.77705130915691,0.00575424452176776,0.49870231601627835,1832,0,5.464,0.0,6.799699130939529,23.445999726846676,250
-14.381343630414971,-0.01081496103025259,23.429430521294655,-78.98233921823903,0.004800857438899069,8.720935033238618,0.01081496103025259,0.49993599590347565,1833,0,5.492,0.0,6.789459171601026,23.440245482324908,250
-14.375146190412456,-0.012773082054213347,23.416657439240442,-79.52330872536172,0.0048644891536548385,8.744031434717721,0.012773082054213347,0.49897494927100305,1834,0,5.532,0.0,6.756840509089992,23.429430521294655,250
-14.315533642123945,-0.0201052531660757,23.396552186074366,-78.22007582056523,0.004932441552549183,8.683062356693435,0.0201052531660757,0.4987023160162784,1835,0,5.464,0.0,6.779853295495975,23.416657439240442,250
-14.253706472996807,-0.0021406620579469404,23.39441152401642,-77.59717803899463,0.004951489484270579,8.644932651260794,0.0021406620579469404,0.4968541033341679,1836,0,5.444,0.0,6.765581833329577,23.396552186074366,250
-14.31138980520312,-0.006098933999350464,23.38831259001707,-79.22785396160447,0.005021013418677387,8.691233834979686,0.006098933999350464,0.49870231601627835,1837,0,5.536,0.0,6.723529062223168,23.39441152401642,250
-14.265185551814877,-0.0019578232837140774,23.386354766733355,-78.05909533953101,0.005056943508124155,8.776073112944879,0.0019578232837140774,0.4992153843783262,1838,0,5.472,0.0,6.7499952430368015,23.38831259001707,250
-14.29263681402426,-0.008033843399811502,23.378320923333543,-78.83818466615782,0.005084690646285321,8.72994630902674,0.008033843399811502,0.49974393443042403,1839,0,5.516,0.0,6.729984525480439,23.386354766733355,250
