ITERATIONS,Wins,TimestepsMean,NormDeltaOmega,ReturnsMean,ReturnsStd,DeltaOmega,OmegaBefore,NormDeltaVar,RewardMean,TimestepsStd,ConfortViolation,Traj,Omega,RewardStd
36,93.2,199.364,0.10839016215057296,1820.1252289035153,80.41937569581356,-0.10839016215057296,4.07665879919413,0.14287109497457076,9.129658458415339,8.44177137809358,0,250,3.9682686370435567,0.18146283955600162
37,91.60000000000001,198.5,0.10692192727405869,1819.6539491028675,109.86602808084065,-0.10692192727405869,3.9682686370435567,0.1297781759234176,9.167022413616463,11.543049856948553,0,250,3.861346709769498,0.20248551672385912
38,88.4,195.4,0.10595914400487239,1799.7018407046269,173.37339100725129,-0.10595914400487239,3.861346709769498,0.13075874588215486,9.210347188867077,18.310652637194558,0,250,3.7553875657646256,0.23534037364868435
39,84.39999999999999,193.504,0.1031313566950387,1787.5778492489978,223.20223285577012,-0.1031313566950387,3.7553875657646256,0.12808413564992063,9.237937454776118,23.65928959203974,0,250,3.652256209069587,0.27467862876703747
40,77.2,191.164,0.0981973061312007,1772.1666578989289,221.9479767630003,-0.0981973061312007,3.652256209069587,0.11751824248943278,9.27039954122601,23.311651678935153,0,250,3.554058902938386,0.33056603998792605
41,77.2,192.312,0.09389561701740412,1790.2756569349785,202.50930340395416,-0.09389561701740412,3.554058902938386,0.12378289633608282,9.309224889424366,21.150854734501866,0,250,3.460163285920982,0.3303229575152459
42,73.6,189.564,0.08453314569370596,1769.6198104781522,239.95573393567162,-0.08453314569370596,3.460163285920982,0.1302783703667302,9.335210327267584,25.09880283997625,0,250,3.375630140227276,0.3580411933611246
43,80.0,191.636,0.07847031196908327,1796.062676782134,230.29351183668012,-0.07847031196908327,3.375630140227276,0.1468412458394688,9.372261353723381,24.016650557477824,0,250,3.297159828258193,0.3127037626046029
44,75.6,190.368,0.07239923446586127,1788.403980932663,244.90682099446158,-0.07239923446586127,3.297159828258193,0.16140812545334457,9.394456951444903,25.464496382218126,0,250,3.2247605937923316,0.3454500692610684
45,83.2,193.196,0.06622084168085207,1821.2439818529087,209.19180712564548,-0.06622084168085207,3.2247605937923316,0.17698845569386606,9.426923858945882,21.65376604657952,0,250,3.1585397521114795,0.28755747699757483
46,86.0,196.124,0.06269198560396694,1854.0637779541323,147.73061929406686,-0.06269198560396694,3.1585397521114795,0.1882885763369324,9.453528267596685,15.056315087032416,0,250,3.0958477665075126,0.26215854253951343
47,93.2,198.528,0.06339564117758556,1882.9820170019,114.61960008887382,-0.06339564117758556,3.0958477665075126,0.18796173220276924,9.484717606594032,11.641014388789323,0,250,3.032452125329927,0.1850764184625597
48,95.6,199.6,0.06138148247209285,1897.5389928889088,78.93319640097009,-0.06138148247209285,3.032452125329927,0.1656073073403986,9.506708381206957,7.9266638631898605,0,250,2.971070642857834,0.151995897387687
