RewardMean,RewardStd,Wins,OmegaBefore,Traj,TimestepsStd,Omega,ReturnsStd,NormDeltaVar,NormDeltaOmega,DeltaOmega,ConfortViolation,TimestepsMean,ReturnsMean,ITERATIONS
-15.190995115640451,7.171651710462697,0.0,23.857642976095022,250,0.5813226298708833,23.912591138698538,10.718001324372384,0.03092568897720796,0.05494816260351598,0.05494816260351598,0,5.492,-83.42894517509735,41
-15.300792069137673,7.223396567079802,0.0,23.912591138698538,250,0.6016111701090664,23.96498140715827,11.281206558337898,0.031951535630487256,0.052390268459731715,0.052390268459731715,0,5.492,-84.0319500437041,42
-15.382978800660862,7.272068836983433,0.0,23.96498140715827,250,0.6013318551349163,24.018190240961154,11.28428865562177,0.03215325733793836,0.053208833802884214,0.053208833802884214,0,5.48,-84.2987238276215,43
-15.49451247831256,7.324462604712087,0.0,24.018190240961154,250,0.5381449618829484,24.070286720268562,10.153939487093503,0.03110891977478078,0.05209647930740857,0.05209647930740857,0,5.48,-84.90992838115284,44
-15.567869229686103,7.392123387612098,0.0,24.070286720268562,250,0.5122499389946279,24.121833189024045,9.779500580839958,0.028514855221240108,0.05154646875548252,0.05154646875548252,0,5.44,-84.6892086094924,45
-15.70253191933737,7.409533849942073,0.0,24.121833189024045,250,0.5079212537391993,24.173583393077536,9.721166713831284,0.02457615758361357,0.051750204053490734,0.051750204053490734,0,5.496,-86.30111542867819,46
-15.806018913128861,7.461552907851055,0.0,24.173583393077536,250,0.5384570549263887,24.22399705321309,10.40623060381213,0.026720177836983074,0.05041366013555404,0.05041366013555404,0,5.492,-86.80665587090373,47
-15.898482088792422,7.522127794632222,0.0,24.22399705321309,250,0.5451752011968262,24.27247515536626,10.540889284127775,0.028672740985922995,0.048478102153168834,0.048478102153168834,0,5.472,-86.99649398987214,48
-16.002201485288964,7.557958158832384,0.0,24.27247515536626,250,0.5309011207371859,24.32056953455247,10.414992455484382,0.027045232047680962,0.04809437918621029,0.04809437918621029,0,5.488,-87.82008175126583,49
-16.08723218029742,7.604563822796027,0.0,24.32056953455247,250,0.574108003776293,24.36788291698306,11.248093139824936,0.029672449072470086,0.04731338243059113,0.04731338243059113,0,5.48,-88.15803234802985,50
-16.132237537926763,7.694794231319122,0.0,24.36788291698306,250,0.521536192416212,24.414812804711193,10.284712313580421,0.02826569885817566,0.046929887728133224,0.046929887728133224,0,5.4,-87.11408270480452,51
-16.26525255592648,7.699113654217154,0.0,24.414812804711193,250,0.5449550440173941,24.462466507405487,10.812739056198213,0.027396477208570857,0.04765370269429425,0.04765370269429425,0,5.468,-88.93840097580602,52
-16.363076475951768,7.7418554182503145,0.0,24.462466507405487,250,0.5451752011968263,24.508648855563223,10.909151260660204,0.02671615307024925,0.046182348157735476,0.046182348157735476,0,5.472,-89.53875447640807,53
