ReturnsStd,Traj,Omega,RewardMean,NormDeltaVar,ITERATIONS,ConfortViolation,NormDeltaOmega,TimestepsMean,OmegaBefore,ReturnsMean,DeltaOmega,Wins,TimestepsStd,RewardStd
125.56918875487194,250,4.942127947948041,8.682698309545634,0.1422196834689752,36,0,0.09999649215086936,197.428,5.0421244400989105,1714.2077618569754,-0.09999649215086936,92.4,13.960688235183824,0.1865032323126122
150.86609269080446,250,4.848043618902618,8.72830218677607,0.12000982274539038,37,0,0.09408432904542341,196.772,4.942127947948041,1717.4854778963008,-0.09408432904542341,92.80000000000001,16.84826448035524,0.18528055909505647
156.78076330671388,250,4.756496442776304,8.776314351540915,0.11081722284015212,38,0,0.0915471761263138,196.62,4.848043618902618,1725.5989277999745,-0.0915471761263138,92.0,17.439369254649094,0.1942632173632901
136.06192338681882,250,4.667071946499352,8.82197733552866,0.10757634994427535,39,0,0.08942449627695215,197.616,4.756496442776304,1743.3638731378312,-0.08942449627695215,91.60000000000001,15.043554899025695,0.19744595091775988
157.20448191606621,250,4.578263314798259,8.858845531786177,0.11252136066863885,40,0,0.08880863170109254,196.032,4.667071946499352,1736.6172072871077,-0.08880863170109254,88.4,17.24340384030949,0.2302608484427319
95.05100154627186,250,4.491076539929587,8.905514050715523,0.1274378137003481,41,0,0.08718677486867232,198.608,4.578263314798259,1768.7063345845086,-0.08718677486867232,92.4,10.276883574313763,0.1907174765307816
164.86332333784688,250,4.4029642398267335,8.94775991017431,0.14599923377445084,42,0,0.08811230010285342,196.008,4.491076539929587,1753.8325244734465,-0.08811230010285342,90.0,17.963294129975157,0.21529195315229668
139.02870366057883,250,4.311101345927058,8.98943042470845,0.15287643865115697,43,0,0.09186289389967506,197.484,4.4029642398267335,1775.2686779931237,-0.09186289389967506,91.60000000000001,15.070028002628266,0.1994112816079903
97.43238536696477,250,4.2156611528327055,9.03365550812055,0.1498431725913438,44,0,0.09544019309435292,199.072,4.311101345927058,1798.347869312574,-0.09544019309435292,94.0,10.437759146483502,0.1713563741746378
90.38663614726012,250,4.115824185168345,9.077274130370599,0.1623490162948926,45,0,0.0998369676643609,199.396,4.2156611528327055,1809.9721524993759,-0.0998369676643609,95.19999999999999,9.628249269727077,0.155552467899214
104.70949623823958,250,4.012119706641169,9.118103575233997,0.13969399573580857,46,0,0.10370447852717568,199.196,4.115824185168345,1816.289759772311,-0.10370447852717568,94.39999999999999,11.190602486014772,0.16677113452368938
87.83693011037191,250,3.906512553580029,9.15831617703905,0.13347551447658243,47,0,0.10560715306113977,199.228,4.012119706641169,1824.5930153191355,-0.10560715306113977,94.0,9.217375765368363,0.17364591461929552
111.42860235827038,250,3.8019804349416417,9.193766151914009,0.11929255920259,48,0,0.1045321186383874,198.292,3.906512553580029,1823.0502777953327,-0.1045321186383874,92.0,11.717283644258169,0.19824361294298956
105.74747187137794,250,3.6988294905941714,9.23297232825555,0.12222287817909568,49,0,0.1031509443474703,198.904,3.8019804349416417,1836.475127979342,-0.1031509443474703,92.80000000000001,11.078934244772826,0.1905578199998193
184.6048806668642,250,3.599202625749988,9.262715861494991,0.10733082843780217,50,0,0.0996268648441836,194.904,3.6988294905941714,1805.3403722688197,-0.0996268648441836,88.0,19.4265484324931,0.24303620542721588
178.3203044482429,250,3.5046993537440336,9.295239640464082,0.08745741455276641,51,0,0.09450327200595421,194.064,3.599202625749988,1803.8713855870212,-0.09450327200595421,84.39999999999999,18.63018797543385,0.27430151236673944
243.31119324495066,250,3.4161471729934645,9.315666612186789,0.08793794661735171,52,0,0.08855218075056914,188.436,3.5046993537440336,1755.4069537340295,-0.08855218075056914,76.8,25.468684771695614,0.33781715077708824
227.34498446074375,250,3.3343832667762703,9.344689103354634,0.09822347966731186,53,0,0.0817639062171942,189.716,3.4161471729934645,1772.837037932028,-0.0817639062171942,77.60000000000001,23.69985957764307,0.33233135591888846
240.58534993258604,250,3.2576098011822574,9.376154063284066,0.11812743359268946,54,0,0.07677346559401288,189.216,3.3343832667762703,1774.1183672383577,-0.07677346559401288,78.8,24.9865832798324,0.3249847830884518
198.62148815423456,250,3.1852679417998386,9.404064649679505,0.13211495260915576,55,0,0.07234185938241877,193.604,3.2576098011822574,1820.6645324365506,-0.07234185938241877,86.0,20.59959184061665,0.26607660263962274
222.46912728458815,250,3.1173567180860777,9.430199593176477,0.1500778786480305,56,0,0.0679112237137609,190.704,3.1852679417998386,1798.376783217127,-0.0679112237137609,80.0,22.97825894187808,0.3150191271311468
206.36049547815907,250,3.052689059366722,9.457294149238077,0.14406075212239763,57,0,0.06466765871935554,192.548,3.1173567180860777,1820.9830738474932,-0.06466765871935554,82.0,21.216967172524917,0.2983995610404391
148.8465083555159,250,2.9906839961228577,9.483891308811652,0.14083839290588865,58,0,0.062005063243864456,196.72,3.052689059366722,1865.671098269428,-0.062005063243864456,90.4,15.217411080732493,0.22120476618885615
126.08082192690574,250,2.930388320164398,9.506003532396207,0.1347468126419764,59,0,0.06029567595845986,197.556,2.9906839961228577,1877.9680338460653,-0.06029567595845986,90.4,12.805267041338888,0.2202936060401899
70.9873350185219,250,2.8719483299389164,9.535681511726793,0.13106546621598666,60,0,0.05843999022548152,199.724,2.930388320164398,1904.5044542481214,-0.05843999022548152,95.19999999999999,7.116728461870665,0.15894022245659853
88.83650140188766,250,2.8129453567631577,9.557222266287162,0.12924126349901463,61,0,0.059002973175758644,199.616,2.8719483299389164,1907.7744799071784,-0.059002973175758644,96.8,9.00913669559964,0.13265667942875237
