ITERATIONS,ReturnsMean,NormDeltaOmega,TimestepsStd,NormDeltaVar,TimestepsMean,DeltaOmega,Wins,OmegaBefore,Omega,RewardMean,ReturnsStd,Traj,ConfortViolation,RewardStd
523,-74.96551098317939,0.0019970337921435544,0.4983974317750845,0.004384403967512414,5.54,0.0019970337921435544,0.0,22.98282351995246,22.984820553744605,-13.531680682884366,8.218056659959236,250,0,6.355032103422466
524,-75.6970576533437,0.00474137304018285,0.4935585071701227,0.0035148875007436292,5.58,0.00474137304018285,0.0,22.984820553744605,22.989561926784788,-13.565780941459447,8.130774892129715,250,0,6.343270682080367
525,-75.34934938012391,0.0003111155261521503,0.4968541033341679,0.00273167158866513,5.556,0.0003111155261521503,0.0,22.989561926784788,22.98987304231094,-13.561797944586736,8.185292028415649,250,0,6.35770657317449
526,-74.73939326947492,0.003519691022599858,0.49959983987187184,0.002038686122026261,5.52,0.003519691022599858,0.0,22.98987304231094,22.99339273333354,-13.539745157513574,8.24303347674406,250,0,6.372835351853624
527,-75.26970404388165,0.003849065123716855,0.4976906669810074,0.0014037324492892332,5.548,-0.003849065123716855,0.0,22.99339273333354,22.989543668209823,-13.566997844967847,8.187924086726047,250,0,6.365731770000371
528,-75.15241332500874,0.007360226818128979,0.4976906669810074,0.0008419449348460807,5.548,0.007360226818128979,0.0,22.989543668209823,22.996903895027952,-13.545856763700204,8.156284365261572,250,0,6.356209106692926
529,-75.89284462060908,0.002951320767529353,0.49289349762397966,0.0003810646590818971,5.584,-0.002951320767529353,0.0,22.996903895027952,22.993952574260422,-13.591125469306782,8.179434959475726,250,0,6.352273915965532
530,-74.6792656808182,0.009019188581191884,0.499743934430424,0.0003493047594347914,5.516,0.009019188581191884,0.0,22.993952574260422,23.002971762841614,-13.538663103846666,8.267317882013579,250,0,6.374805646876319
531,-74.98976463015887,0.010434609559453634,0.49921538437832624,0.0007105668416516123,5.528,0.010434609559453634,0.0,23.002971762841614,23.013406372401068,-13.565442226873893,8.255192588185157,250,0,6.379031510070512
532,-75.42563492569161,0.008690116127702652,0.49806023732074817,0.0010817256989379127,5.544,0.008690116127702652,0.0,23.013406372401068,23.02209648852877,-13.604912504634129,8.27635636974444,250,0,6.386699724740708
