ITERATIONS,Traj,DeltaOmega,OmegaBefore,NormDeltaOmega,RewardStd,TimestepsMean,ReturnsMean,ReturnsStd,TimestepsStd,RewardMean,ConfortViolation,Wins,NormDeltaVar,Omega
35,250,-0.02204217039423284,23.54827506854722,0.02204217039423284,6.862134107394529,5.532,-80.76380969245801,10.209401459287054,0.5735642945651341,-14.599387146142083,0,0.0,0.03456991004257073,23.526232898152987
36,250,-0.021200197418725253,23.526232898152987,0.021200197418725253,6.822464302060649,5.58,-81.424926513978,11.898841399521592,0.6720119046564577,-14.592280737272043,0,0.0,0.03756764801260828,23.50503270073426
37,250,-0.019769107011377685,23.50503270073426,0.019769107011377685,6.8082668947323075,5.568,-80.97086089504472,9.831603718352417,0.5562157854645983,-14.542180476839931,0,0.0,0.03551654812582273,23.485263593722884
38,250,-0.02002872391119581,23.485263593722884,0.02002872391119581,6.782881011634428,5.588,-81.13732600927337,9.661016515505276,0.5461281900799482,-14.519922335231458,0,0.0,0.0316296750026619,23.465234869811688
39,250,-0.020398817062606156,23.465234869811688,0.020398817062606156,6.774386117850495,5.568,-80.56996923288014,9.268048095696425,0.5266649789002492,-14.4701812559052,0,0.0,0.02868975963353791,23.444836052749082
40,250,-0.019215475848692876,23.444836052749082,0.019215475848692876,6.7519265640334565,5.572,-80.39492357418762,10.200131340232957,0.5837944843864149,-14.428378243752265,0,0.0,0.025389855222569462,23.42562057690039
41,250,-0.019470785631384047,23.42562057690039,0.019470785631384047,6.750555995599669,5.544,-79.7304583602591,8.973497734222422,0.5138715792880552,-14.381395808127543,0,0.0,0.020054471465759855,23.406149791269005
42,250,-0.01947912346244962,23.406149791269005,0.01947912346244962,6.766901131955472,5.48,-78.43983107293897,9.871069521114295,0.567097875150313,-14.31383778703266,0,0.0,0.016956799942813117,23.386670667806555
43,250,-0.017139343201211688,23.386670667806555,0.017139343201211688,6.7019029899120985,5.56,-79.52393418558079,9.932672856790711,0.571314274283428,-14.302865860715968,0,0.0,0.018830150439781947,23.369531324605344
44,250,-0.019183908594516907,23.369531324605344,0.019183908594516907,6.702543263843485,5.552,-79.34712197355147,10.36959076012355,0.5994130462377342,-14.29162859754169,0,0.0,0.019203209064149275,23.350347416010827
45,250,-0.021066541221383517,23.350347416010827,0.021066541221383517,6.690723329296499,5.54,-78.9296507720402,9.07298295710649,0.5219195340279955,-14.247229381234693,0,0.0,0.01562903560146441,23.329280874789443
46,250,-0.021086998965198944,23.329280874789443,0.021086998965198944,6.652706991558348,5.568,-79.12333902135879,9.319305924211948,0.5416419481539442,-14.210369795502658,0,0.0,0.017655215119919247,23.308193875824244
47,250,-0.017749380329796338,23.308193875824244,0.017749380329796338,6.589868195944173,5.66,-80.46296213077652,10.527164417928658,0.6135144660071187,-14.216071047840375,0,0.0,0.02157917500846072,23.290444495494448
