DeltaOmega,ConfortViolation,Omega,ReturnsStd,ITERATIONS,OmegaBefore,Theta,TimestepsMean,RewardMean,Wins,Traj,NormDeltaOmega,TimestepsStd,ReturnsMean,RewardStd,NormDeltaVar
0.00051965,0,0.8445433,55.326666265011845,0,0.84402365,0.12726907,500.0,2.4672,0.0,20,0.0005196511948545313,0.0,1233.6,2.5476507138930957,0.07135763577700516
0.00030056,0,0.84857453,53.12588822786872,0,0.84827397,0.1222175,500.0,2.4316,0.0,20,0.0003005600719944157,0.0,1215.8,2.527631587079098,0.05982445784414381
0.0003812,0,0.85333899,59.44501661199196,0,0.85295778,0.11699058,500.0,2.4706,0.0,20,0.0003812027228858872,0.0,1235.3,2.56447570470067,0.08573587378481662
0.00049847,0,0.85643986,73.89039179758082,0,0.8559414,0.1110453,500.0,2.4942,0.0,20,0.0004984661561340253,0.0,1247.1,2.5760757675192707,0.08901069610194057
0.00071638,0,0.86264205,77.48703117296468,0,0.86192567,0.10598999,500.0,2.4928,0.0,20,0.0007163828374510128,0.0,1246.4,2.5861840924419903,0.06468473261005414
0.0005367,0,0.86922225,62.06214627290938,0,0.86868555,0.10146263,500.0,2.4726,0.0,20,0.0005366963374129341,0.0,1236.3,2.5552004304946414,0.07808201914546942
0.00061732,0,0.8751027,79.86307031413205,0,0.87448538,0.09655541,500.0,2.5434,0.0,20,0.0006173185825141259,0.0,1271.7,2.625169792603899,0.07892274437840996
0.00040423,0,0.87973466,57.56943633561127,0,0.87933043,0.09187124,500.0,2.4808,0.0,20,0.0004042293565569288,0.0,1240.4,2.5692083138585704,0.08827225563747731
0.00031993,0,0.88300783,76.78671760141854,0,0.8826879,0.08727409,500.0,2.526,0.0,20,0.0003199333992514042,0.0,1263.0,2.6066307755414844,0.07784615565129371
5.33593639e-05,0,0.88469947,83.19921874633198,0,0.88464611,0.08300434,500.0,2.5466,0.0,20,5.335936392969476e-05,0.0,1273.3,2.640005386358142,0.07416428918087092
0.00028019,0,0.88659879,78.38743521764187,0,0.8863186,0.07968988,500.0,2.5222,0.0,20,0.0002801941633415739,0.0,1261.1,2.6247489708541654,0.051323003507910414
0.00026865,0,0.89035835,54.851071092550235,0,0.8900897,0.07741772,500.0,2.5712,0.0,20,0.0002686492498498172,0.0,1285.6,2.660550800116397,0.06863342838249764
0.0002314,0,0.89240738,67.9808061146674,0,0.89217598,0.07386622,500.0,2.5738,0.0,20,0.00023139819869655298,0.0,1286.9,2.654798214554168,0.07443116639696967
0.00020212,0,0.89443762,65.60518272209902,0,0.8942355,0.07022347,500.0,2.6132,0.0,20,0.00020211982813522766,0.0,1306.6,2.6962169348922944,0.06493307150356742
0.00033636,0,0.89852594,56.16858552607498,0,0.89818958,0.06783742,500.0,2.5946,0.0,20,0.0003363565666992807,0.0,1297.3,2.6817253476073946,0.04989464096284735
0.00029449,0,0.90118582,89.41694470289174,0,0.90089133,0.06605841,500.0,2.6618,0.0,20,0.0002944917559238869,0.0,1330.9,2.73934677614938,0.04831390458237195
0.00046865,0,0.90429029,74.96792647526007,0,0.90382164,0.06408676,500.0,2.6458,0.0,20,0.00046865064508072596,0.0,1322.9,2.7247279423825055,0.03380257624425553
0.00027069,0,0.90836949,58.7857125499045,0,0.90809881,0.06266034,500.0,2.6504,0.0,20,0.00027068580393629915,0.0,1325.2,2.7169431057716316,0.058479768618283856
0.00025448,0,0.91128642,72.20637091005197,0,0.91103194,0.06016803,500.0,2.5744,0.0,20,0.00025447767299136004,0.0,1287.2,2.662567302435752,0.0562512669234323
0.00015349,0,0.91362759,65.0116143469765,0,0.91347411,0.05769889,500.0,2.6846,0.0,20,0.00015348810530346757,0.0,1342.3,2.75516294254986,0.0585144384265206
-1.11689314e-05,0,0.91403462,60.93931407556209,0,0.91404579,0.05522904,500.0,2.684,0.0,20,1.1168931400518112e-05,0.0,1342.0,2.75552971314047,0.0629385827654545
