OmegaBefore,Wins,Traj,DeltaOmega,ReturnsStd,NormDeltaOmega,ConfortViolation,Theta,ITERATIONS,Omega,NormDeltaVar,RewardStd,TimestepsStd,ReturnsMean,TimestepsMean,RewardMean
0.99999958,0.0,20,8.67049343e-09,81.78997493580738,8.670493434337345e-09,0,0.00157136,522,0.99999959,0.1617873951309008,2.9820127430981915,0.0,1490.0,500.0,2.98
0.99999959,0.0,20,1.11182875e-08,67.17916343629176,1.1118287512879022e-08,0,0.00155715,523,0.9999996,0.12993164791943457,3.0145289781324047,0.0,1512.4,500.0,3.0248
0.9999996,0.0,20,8.70150774e-09,68.76161720029569,8.701507736574854e-09,0,0.00155681,524,0.99999961,0.0031086416535686112,3.0118603951710643,0.0,1513.2,500.0,3.0264
0.99999961,0.0,20,6.98194258e-09,91.74415512717964,6.981942579642464e-09,0,0.0015631,525,0.99999962,0.05769089482889456,2.9907540119508327,0.0,1493.1,500.0,2.9862
0.99999962,0.0,20,1.00424897e-08,87.54764417161662,1.004248972868993e-08,0,0.00156495,526,0.99999963,0.016840612016721934,2.9741249402135073,0.0,1478.9,500.0,2.9578
0.99999963,0.0,20,9.91704852e-09,80.70260218852921,9.917048515717397e-09,0,0.00156314,527,0.99999964,0.016523970830718326,2.9936639156725664,0.0,1490.3,500.0,2.9806
0.99999964,0.0,20,7.98781852e-09,81.40092137070685,7.987818517740664e-09,0,0.00156862,528,0.99999965,0.05007939402898387,2.9871285944866854,0.0,1483.7,500.0,2.9674
0.99999965,0.0,20,7.09558889e-09,55.741905241927284,7.095588894223681e-09,0,0.00158077,529,0.99999965,0.11042129874256545,3.008121247556355,0.0,1514.2,500.0,3.0284
0.99999965,0.0,20,4.89239982e-09,70.209970801874,4.892399818601234e-09,0,0.00158374,530,0.99999966,0.02687115299086429,3.0164438930634856,0.0,1521.6,500.0,3.0432
0.99999966,0.0,20,5.79346993e-09,64.59071140651727,5.793469926018702e-09,0,0.00158354,531,0.99999966,0.0018446253108805877,2.9858889195681746,0.0,1482.2,500.0,2.9644
0.99999966,0.0,20,4.09828249e-09,86.96775264429914,4.098282491149519e-09,0,0.0015852,532,0.99999967,0.015009976116203916,3.0336902874222345,0.0,1524.1,500.0,3.0482
0.99999967,0.0,20,9.53459889e-09,78.99943037769323,9.534598888194523e-09,0,0.00159364,533,0.99999968,0.07597803624865662,2.9648996677796706,0.0,1469.3,500.0,2.9386
0.99999968,0.0,20,8.24453406e-09,64.62228717710323,8.244534055457109e-09,0,0.00160705,534,0.99999969,0.11987718134032832,2.980754025410349,0.0,1480.6,500.0,2.9612
0.99999969,0.0,20,1.07978451e-08,95.42300561185442,1.079784506252679e-08,0,0.00161972,535,0.9999997,0.11238277047284839,2.9730373357897815,0.0,1478.5,500.0,2.957
0.9999997,0.0,20,8.98419728e-09,89.99133291600921,8.984197275019312e-09,0,0.00163768,536,0.99999971,0.1577965920981228,2.979565364277146,0.0,1476.6,500.0,2.9532
0.99999971,0.0,20,5.79071568e-09,97.78604194873621,5.790715684739212e-09,0,0.00163399,537,0.99999971,0.03229713927758837,2.9990645941693224,0.0,1498.3,500.0,2.9966
0.99999971,0.0,20,6.03374051e-09,102.76069287426978,6.033740507227492e-09,0,0.00164974,538,0.99999972,0.137252370510609,2.9926748971446933,0.0,1486.8,500.0,2.9736
0.99999972,0.0,20,2.93535696e-09,80.44849283858586,2.935356957500801e-09,0,0.00166212,539,0.99999972,0.10702834664330396,3.0160890968272147,0.0,1514.2,500.0,3.0284
0.99999972,0.0,20,2.30100439e-09,58.217179595030196,2.3010043870286268e-09,0,0.00166965,540,0.99999972,0.06460887577395624,2.9871562664179456,0.0,1479.4,500.0,2.9588
0.99999972,0.0,20,-7.13952564e-10,94.04950823901207,7.139525637356314e-10,0,0.00168808,541,0.99999972,0.15713248969149163,2.9705788728798295,0.0,1477.3,500.0,2.9546
0.99999972,0.0,20,-2.22619645e-09,60.537261252884576,2.226196449406359e-09,0,0.00169443,542,0.99999972,0.05369252148383907,3.0205546245681436,0.0,1516.2,500.0,3.0324
0.99999972,0.0,20,-1.11607079e-09,77.97794560002207,1.1160707913404622e-09,0,0.00170002,543,0.99999972,0.04714023880195839,3.02329261567583,0.0,1511.2,500.0,3.0224
0.99999972,0.0,20,-2.65275468e-10,77.62705713860342,2.652754682586078e-10,0,0.00169545,544,0.99999972,0.038512410296007715,2.95957507760827,0.0,1462.2,500.0,2.9244
0.99999972,0.0,20,-5.3710647e-10,100.30034895253357,5.371064704107198e-10,0,0.00167494,545,0.99999972,0.17418611995643118,3.0108572599842724,0.0,1509.2,500.0,3.0184
0.99999972,0.0,20,2.03026862e-09,69.8,2.0302686198903075e-09,0,0.00166269,546,0.99999972,0.1050320173424808,3.0055753791911464,0.0,1505.4,500.0,3.0108
