TimestepsMean,OmegaBefore,TimestepsStd,ConfortViolation,Theta,Wins,NormDeltaVar,Traj,ReturnsMean,RewardStd,Omega,DeltaOmega,RewardMean,ReturnsStd,ITERATIONS,NormDeltaOmega
500.0,[[0.98435263]],0.0,0,[[0.11558782]],0.0,0.14902666998674619,20,1342.3,2.7505131957509312,[[0.98487524]],[[0.0005226]],2.6846,66.10075642532391,85,0.0005226019238092627
500.0,[[0.98487524]],0.0,0,[[0.11457445]],0.0,0.14215583070612325,20,1288.6,2.679783603203811,[[0.985434]],[[0.00055876]],2.5772,53.736765812616596,86,0.0005587607879465883
500.0,[[0.985434]],0.0,0,[[0.11337598]],0.0,0.16954128863540419,20,1321.9,2.7317982282738233,[[0.98598903]],[[0.00055503]],2.6438,48.91819702319373,87,0.0005550322982780242
500.0,[[0.98598903]],0.0,0,[[0.11134383]],0.0,0.29108581512811327,20,1330.2,2.7378589883337674,[[0.98624894]],[[0.00025992]],2.6604,93.29072837104447,88,0.00025991523654989024
500.0,[[0.98624894]],0.0,0,[[0.11021701]],0.0,0.16341317746215722,20,1323.5,2.723121554393046,[[0.98670935]],[[0.0004604]],2.647,56.337820334123684,89,0.00046040498069621627
500.0,[[0.98670935]],0.0,0,[[0.10905806]],0.0,0.16960647531066186,20,1338.2,2.7488330323975663,[[0.98717146]],[[0.00046211]],2.6764,81.81662422759815,90,0.0004621116891823096
500.0,[[0.98717146]],0.0,0,[[0.10851889]],0.0,0.07944477656018023,20,1347.2,2.7532178700567815,[[0.98771677]],[[0.00054531]],2.6944,62.419227806822484,91,0.0005453105648330903
500.0,[[0.98771677]],0.0,0,[[0.10752881]],0.0,0.14679185441145393,20,1332.9,2.740713476450977,[[0.98824689]],[[0.00053012]],2.6658,60.89162503990183,92,0.0005301190419461088
500.0,[[0.98824689]],0.0,0,[[0.10597797]],0.0,0.23233915055141097,20,1337.3,2.742647414451956,[[0.988664]],[[0.00041711]],2.6746,71.72802799464097,93,0.0004171055324937445
500.0,[[0.988664]],0.0,0,[[0.10431781]],0.0,0.2520625181317264,20,1344.7,2.7568691735372575,[[0.98906892]],[[0.00040493]],2.6894,55.01736089635707,94,0.00040492564911276396
500.0,[[0.98906892]],0.0,0,[[0.10354298]],0.0,0.11885771338371143,20,1344.2,2.7589319382688657,[[0.98949765]],[[0.00042873]],2.6884,74.92102508642017,95,0.00042872691203499347
500.0,[[0.98949765]],0.0,0,[[0.1030585]],0.0,0.07471897752319379,20,1337.8,2.7678808933911876,[[0.9899166]],[[0.00041895]],2.6756,87.83142945438152,96,0.00041895133403324625
500.0,[[0.9899166]],0.0,0,[[0.10292299]],0.0,0.020953911540864567,20,1338.8,2.7550786268271907,[[0.99034547]],[[0.00042887]],2.6776,77.17875355303427,97,0.0004288705875941101
500.0,[[0.99034547]],0.0,0,[[0.10238705]],0.0,0.08311468305367953,20,1360.1,2.786989766755522,[[0.99067498]],[[0.00032951]],2.7202,77.10376125715268,98,0.00032950653415064757
500.0,[[0.99067498]],0.0,0,[[0.10163362]],0.0,0.11749937727109128,20,1368.6,2.803379417774198,[[0.9911075]],[[0.00043253]],2.7372,69.76560757278618,99,0.00043252535840831996
500.0,[[0.9911075]],0.0,0,[[0.10029317]],0.0,0.21096732374255822,20,1324.8,2.735035619512112,[[0.99146698]],[[0.00035948]],2.6496,53.02603134310543,100,0.0003594768496509859
500.0,[[0.99146698]],0.0,0,[[0.09855263]],0.0,0.277708166307324,20,1331.5,2.73013387950115,[[0.99180797]],[[0.00034099]],2.663,86.80524177721067,101,0.0003409944393261144
500.0,[[0.99180797]],0.0,0,[[0.09694871]],0.0,0.2598051233642842,20,1381.7,2.8109821130700925,[[0.9921174]],[[0.00030943]],2.7634,75.66577826203864,102,0.00030942606312900356
500.0,[[0.9921174]],0.0,0,[[0.09527203]],0.0,0.27572481108559543,20,1352.1,2.7778593124922653,[[0.99232178]],[[0.00020438]],2.7042,51.12132627387517,103,0.00020438268506384194
500.0,[[0.99232178]],0.0,0,[[0.09316933]],0.0,0.3519881147601538,20,1360.7,2.7908389491333963,[[0.99237895]],[[5.71707228e-05]],2.7214,59.246181311541086,104,5.717072279798341e-05
500.0,[[0.99237895]],0.0,0,[[0.09111583]],0.0,0.3506981163360834,20,1344.3,2.7700956734380133,[[0.99245194]],[[7.2985273e-05]],2.6886,69.36937364572351,105,7.298527302201929e-05
500.0,[[0.99245194]],0.0,0,[[0.08883188]],0.0,0.3985117749281031,20,1348.6,2.7890342701372455,[[0.9924884]],[[3.6463688e-05]],2.6972,75.55951296825569,106,3.646368797571853e-05
500.0,[[0.9924884]],0.0,0,[[0.08721434]],0.0,0.28786362968894963,20,1355.2,2.7751994234649153,[[0.99266307]],[[0.00017466]],2.7104,64.01374852326647,107,0.00017466377191621696
500.0,[[0.99266307]],0.0,0,[[0.0857088]],0.0,0.2723031493589474,20,1371.1,2.8122480616048082,[[0.99280624]],[[0.00014317]],2.7422,61.74617397053845,108,0.00014317046559053637
500.0,[[0.99280624]],0.0,0,[[0.08395501]],0.0,0.3227273330237139,20,1369.9,2.7917549964135464,[[0.99295075]],[[0.00014452]],2.7398,77.92939111785745,109,0.0001445186012458688
500.0,[[0.99295075]],0.0,0,[[0.08233828]],0.0,0.30297525707085526,20,1378.5,2.818395110696866,[[0.99308194]],[[0.00013119]],2.757,60.368452025871925,110,0.0001311875359486514
500.0,[[0.99308194]],0.0,0,[[0.08058526]],0.0,0.3346968359742988,20,1388.5,2.8367359764348885,[[0.9931732]],[[9.12612017e-05]],2.777,64.50697636690158,111,9.12612017374137e-05
500.0,[[0.9931732]],0.0,0,[[0.07925638]],0.0,0.2581748392462728,20,1385.7,2.834315091869639,[[0.9933455]],[[0.0001723]],2.7714,63.59960691702425,112,0.00017229679545438525
500.0,[[0.9933455]],0.0,0,[[0.07776093]],0.0,0.29530965846110035,20,1379.2,2.8192249715125612,[[0.99351316]],[[0.00016766]],2.7584,76.23490014422529,113,0.00016766066964379878
500.0,[[0.99351316]],0.0,0,[[0.07590904]],0.0,0.3729896661269265,20,1391.8,2.8351315736663794,[[0.99363716]],[[0.000124]],2.7836,70.2876945133357,114,0.00012399757059244898
500.0,[[0.99363716]],0.0,0,[[0.0741684]],0.0,0.3582775408341661,20,1373.2,2.819306127400854,[[0.99376866]],[[0.0001315]],2.7464,70.89541593079203,115,0.00013150367569592092
500.0,[[0.99376866]],0.0,0,[[0.07262871]],0.0,0.3234231114171848,20,1396.7,2.8511956158776623,[[0.99390951]],[[0.00014085]],2.7934,97.24047511196149,116,0.00014084624128285483
500.0,[[0.99390951]],0.0,0,[[0.07082792]],0.0,0.38638384672368176,20,1409.3,2.8652214643897946,[[0.99404909]],[[0.00013958]],2.8186,74.13305605463734,117,0.0001395829629929901
500.0,[[0.99404909]],0.0,0,[[0.06909634]],0.0,0.3801921473605887,20,1410.6,2.8666409890322857,[[0.99417285]],[[0.00012376]],2.8212,64.52317413147,118,0.0001237632740341832
500.0,[[0.99417285]],0.0,0,[[0.06693702]],0.0,0.48666359915752366,20,1416.0,2.8753740626221136,[[0.99416612]],[[-6.73056117e-06]],2.832,60.10657202003787,119,6.730561173173832e-06
500.0,[[0.99416612]],0.0,0,[[0.06497232]],0.0,0.45563182041706796,20,1370.4,2.8213499180356907,[[0.99429114]],[[0.00012502]],2.7408,64.75059845283285,120,0.00012501802272057994
500.0,[[0.99429114]],0.0,0,[[0.06306339]],0.0,0.45515043843616354,20,1399.4,2.855646784880791,[[0.99442141]],[[0.00013026]],2.7988,66.7385945312006,121,0.0001302636480694508
500.0,[[0.99442141]],0.0,0,[[0.06079809]],0.0,0.5570963965554228,20,1388.6,2.838584182299338,[[0.99455262]],[[0.00013121]],2.7772,72.32454631727738,122,0.00013121003326987957
500.0,[[0.99455262]],0.0,0,[[0.0589767]],0.0,0.4621928295122686,20,1436.8,2.900486690195285,[[0.99470671]],[[0.00015409]],2.8736,72.4,123,0.00015409261638732463
500.0,[[0.99470671]],0.0,0,[[0.05726374]],0.0,0.44704978624057645,20,1422.9,2.892926262454679,[[0.99485571]],[[0.000149]],2.8458,68.42360703733763,124,0.00014899762071485245
500.0,[[0.99485571]],0.0,0,[[0.05587616]],0.0,0.3714362362380186,20,1378.4,2.824757292228838,[[0.99498033]],[[0.00012462]],2.7568,78.34436801710766,125,0.00012462277082747608
