LossReg,WeightMax,WeightMin,TimestepsMean,TimestepsStd,Epsilon,Eta,DualAfter,Wins,DualBefore,NormDeltaVar,ReturnsMean,ConfortViolation,OmegaBefore,Traj,Primal,NormDeltaOmega,DeltaOmega,RewardMean,Omega,RewardStd,WeightMean,WeightMedian,ReturnsStd,ITERATIONS,DualReg
0.0,1.0,4.3552071964240475e-263,500.0,0.0,1.4201,0.013242654098899307,8.00061610668584,0.0,8.051716827083617,0.0,1512.5454545454545,0,[[0.99999999]],100,8.000000000000297,0.0,[[0.]],3.02184,[[0.99999999]],3.0109405531162516,4.3552071964240475e-263,1.6953392463378086e-197,76.25995847899232,10,0.0
0.0,1.0,1.510444739192426e-260,500.0,0.0,1.4201,0.013372118717004824,8.000599930294271,0.0,8.050062298788632,0.0,1508.7676767676767,0,[[0.99999999]],100,8.000000000000586,0.0,[[0.]],3.01764,[[0.99999999]],3.0104100767835598,1.510444739192426e-260,1.3624752776492878e-195,69.47288233153333,11,0.0
0.0,1.0,5.410548604171383e-252,500.0,0.0,1.4201,0.013827359708222825,8.000550158985847,0.0,8.045027052721581,0.0,1504.121212121212,0,[[0.99999999]],100,8.000000000000444,0.0,[[0.]],3.01052,[[0.99999999]],3.004964114527826,5.410548604171383e-252,3.5475700280523556e-189,66.7501405782612,12,0.0
0.0,1.0,1.5021827032006487e-267,500.0,0.0,1.4201,0.013021187248449988,8.000643803171183,0.0,8.05459658790845,0.0,1511.3535353535353,0,[[0.99999999]],100,7.999999999999648,0.0,[[0.]],3.0224,[[0.99999999]],3.0164578962750332,1.5021827032006487e-267,7.630307982527331e-201,83.40328132625312,13,0.0
0.0,1.0,8.091097123202764e-235,500.0,0.0,1.4201,0.014841839811991046,8.000461313070018,0.0,8.036363555784776,0.0,1496.4242424242425,0,[[0.99999999]],100,8.00000000000041,0.0,[[0.]],2.9916,[[0.99999999]],3.0001482363376644,8.091097123202764e-235,2.6977739748687598e-176,73.82440138997198,14,0.0
0.0,1.0,1.817817501077191e-244,500.0,0.0,1.4201,0.014254326104761485,8.000509218666906,0.0,8.040982884603194,0.0,1500.4848484848485,0,[[0.99999999]],100,7.999999999999816,0.0,[[0.]],3.00168,[[0.99999999]],3.0027182980759277,1.817817501077191e-244,1.5655347433994072e-183,85.73112345004786,15,0.0
0.0,1.0,1.0168068673748551e-221,500.0,0.0,1.4201,0.01572158215130368,8.000405199681639,0.0,8.031118085440122,0.0,1494.2424242424242,0,[[0.99999999]],100,8.000000000000567,0.0,[[0.]],2.98876,[[0.99999999]],2.9914601221477115,1.0168068673748551e-221,1.800648124632675e-166,74.93904471239193,16,0.0
0.0,1.0,1.4407185916312964e-253,500.0,0.0,1.4201,0.01374124478374857,8.000558747590253,0.0,8.045890295116841,0.0,1506.5454545454545,0,[[0.99999999]],100,7.999999999999702,0.0,[[0.]],3.0108,[[0.99999999]],3.006533445681255,1.4407185916312964e-253,2.33848382553483e-190,74.58318828186643,17,0.0
0.0,1.0,7.908781280921544e-219,500.0,0.0,1.4201,0.01592996671555499,8.000392574867352,0.0,8.02997622853371,0.0,1489.4949494949494,0,[[0.99999999]],100,8.000000000000423,0.0,[[0.]],2.9822,[[0.99999999]],2.9935669626717885,7.908781280921544e-219,2.652052846806952e-164,78.90018931208148,18,0.0
0.0,1.0,2.5725464960707233e-256,500.0,0.0,1.4201,0.013593492675104924,8.00057432351128,0.0,8.0474621947046,0.0,1505.878787878788,0,[[0.99999999]],100,8.000000000000467,0.0,[[0.]],3.01232,[[0.99999999]],3.00870872927241,2.5725464960707233e-256,2.0312923114429437e-192,73.07326788462963,19,0.0
