LossReg,Epsilon,WeightMean,RewardMean,RewardStd,WeightMax,DualAfter,ConfortViolation,WeightMedian,Wins,Eta,ReturnsStd,DeltaOmega,TimestepsMean,Primal,DualBefore,Traj,NormDeltaOmega,ReturnsMean,NormDeltaVar,OmegaBefore,Omega,TimestepsStd,DualReg,ITERATIONS,WeightMin
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,10,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,11,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,12,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,13,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,14,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,15,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,16,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,17,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,18,0.0
0.0,0.1701,0.0,9.98,0.4467661580737735,1.0,10.00116309322641,0,1.0,0.0,0.006919137912938872,0.0,[[0.]],500.0,9.999999999997792,10.168098088311146,100,0.0,4990.0,0.0,[[2.50426252e-09]],[[2.50426252e-09]],0.0,0.0,19,0.0
