NormDeltaOmega,ITERATIONS,RewardStd,WeightMedian,DualReg,TimestepsMean,Epsilon,ReturnsMean,WeightMin,OmegaBefore,DualAfter,Primal,RewardMean,TimestepsStd,Wins,ConfortViolation,Omega,LossReg,ReturnsStd,WeightMean,DualBefore,NormDeltaVar,Traj,Eta,WeightMax,DeltaOmega
0.0011047860929837006,10,2.6032285723693187,0.044757637310788495,0.0,500.0,0.7601,1261.959595959596,0.020586567513458245,[[0.89119798]],6.276719282248825,6.276719284199465,2.521,0.0,0.0,0,[[0.89009319]],0.0,62.580843745327975,0.020586567513458245,7.1343611999078504,0.16204745843907276,100,2.5752511045748636,1.0,[[-0.00110479]]
0.003355633252201229,11,2.616463051067223,0.044947861760197216,0.0,500.0,0.7601,1262.949494949495,0.02069599427724456,[[0.89009319]],6.292955964820125,6.292955966861447,2.52532,0.0,0.0,0,[[0.89344883]],0.0,67.21612567122547,0.02069599427724456,7.14873115959026,0.4967187835312039,100,2.5787717347921557,1.0,[[0.00335563]]
0.0023694621194843,12,2.628115986481571,0.045082586998182836,0.0,500.0,0.7601,1266.969696969697,0.020773565171273604,[[0.89344883]],6.310648516059805,6.310648518181333,2.53296,0.0,0.0,0,[[0.89581829]],0.0,62.08912696911562,0.020773565171273604,7.164273923062163,0.3591043250684187,100,2.5812619957858582,1.0,[[0.00236946]]
0.0005597781819118852,13,2.6253182591068835,0.04451269833612534,0.0,500.0,0.7601,1270.1010101010102,0.020445837380054357,[[0.89581829]],6.309857256824687,6.309857259368226,2.54128,0.0,0.0,0,[[0.89525851]],0.0,69.54302424544045,0.020445837380054357,7.144327899178756,0.08548265006791667,100,2.5707099687672,1.0,[[-0.00055978]]
0.004356010456478598,14,2.6018480767331518,0.04501644745091923,0.0,500.0,0.7601,1254.6666666666667,0.020735476680996574,[[0.89525851]],6.266179085335943,6.266179087128539,2.50816,0.0,0.0,0,[[0.8909025]],0.0,66.20811998172998,0.020735476680996574,7.132947024060321,0.6517741360847928,100,2.5800398031548473,1.0,[[-0.00435601]]
0.0012672051736687395,15,2.600295808095687,0.044966093519039296,0.0,500.0,0.7601,1256.989898989899,0.020706488199848435,[[0.8909025]],6.2697035179590195,6.269703519731995,2.51348,0.0,0.0,0,[[0.8896353]],0.0,71.60349505457259,0.020706488199848435,7.136723833441652,0.1853114540969365,100,2.5791088854867987,1.0,[[-0.00126721]]
0.0016517224981011935,16,2.604298592711673,0.044946474370841705,0.0,500.0,0.7601,1256.7272727272727,0.020695195760634125,[[0.8896353]],6.271101640404279,6.27110164227732,2.5122,0.0,0.0,0,[[0.89128702]],0.0,68.49519900329786,0.020695195760634125,7.133842991208801,0.24191525688560844,100,2.5787460765134083,1.0,[[0.00165172]]
0.002840646134516067,17,2.620525485012501,0.045063266034544885,0.0,500.0,0.7601,1265.030303030303,0.020762437155442733,[[0.89128702]],6.299663994501251,6.2996639965126615,2.52768,0.0,0.0,0,[[0.89412767]],0.0,72.15715936331557,0.020762437155442733,7.157389411748439,0.4237041063434397,100,2.580905029535796,1.0,[[0.00284065]]
0.0008836149543191008,18,2.6152987133404095,0.04467495928515717,0.0,500.0,0.7601,1265.1919191919192,0.020539043122536783,[[0.89412767]],6.292599447831604,6.292599450062858,2.5292,0.0,0.0,0,[[0.89324405]],0.0,68.2224046802596,0.020539043122536783,7.138973285311355,0.13285910718443716,100,2.573719258445557,1.0,[[-0.00088361]]
0.00042327427428701103,19,2.624555477485664,0.04509523500547079,0.0,500.0,0.7601,1270.3434343434344,0.02078085050677414,[[0.89324405]],6.314036572607346,6.314036574607298,2.53884,0.0,0.0,0,[[0.89366732]],0.0,64.76315226450599,0.02078085050677414,7.172117261607019,0.06352154532787324,100,2.581495645826512,1.0,[[0.00042327]]
