OmegaBefore,LossReg,Epsilon,ConfortViolation,Eta,RewardMean,DualAfter,DualBefore,WeightMedian,WeightMin,Omega,DualReg,WeightMean,Wins,ITERATIONS,DeltaOmega,ReturnsStd,Primal,WeightMax,NormDeltaOmega,Traj,TimestepsMean,ReturnsMean,TimestepsStd,NormDeltaVar,RewardStd
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,10,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,11,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,12,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,13,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,14,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,15,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,16,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,17,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,18,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
[[1.67975348e-09]],0.0,0.0801,0,0.009666581955468486,9.98,10.000754940691742,10.078098088311146,1.0,0.0,[[1.67975348e-09]],0.0,0.0,0.0,19,[[0.]],0.0,9.999999999997792,1.0,0.0,100,500.0,4990.0,0.0,0.0,0.4467661580737735
