Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
3.900000000000000000e+01,3.556682703023015701e+00,3.897121692775175339e-02,3.538443612065112376e+00,3.574921793980919027e+00,1.847636132534869148e+03,2.337700909289344864e+01,1.836695355500385858e+03,1.858576909569352438e+03,1.987871999999999844e+02,2.334046306310139762e+00,1.976948327033956616e+02,1.998795672966043071e+02
4.000000000000000000e+01,3.442162866826563139e+00,4.801423397241454116e-02,3.419691513614256717e+00,3.464634220038869561e+00,1.851832058731604320e+03,3.120985165986639487e+01,1.837225398532558529e+03,1.866438718930650111e+03,1.983601999999999919e+02,3.135307187501731541e+00,1.968928310676973013e+02,1.998275689323026825e+02
4.100000000000000000e+01,3.330035677395599691e+00,5.868246751575203340e-02,3.302571437193959181e+00,3.357499917597240202e+00,1.859159818741270328e+03,2.340123235385718203e+01,1.848207704871685564e+03,1.870111932610855092e+03,1.983063999999999965e+02,2.223950503046325800e+00,1.972655591254095100e+02,1.993472408745904829e+02
4.200000000000000000e+01,3.220445754408375993e+00,7.110085409596070272e-02,3.187169530382706562e+00,3.253721978434045425e+00,1.866835641724007246e+03,2.360884249898503739e+01,1.855786363315583685e+03,1.877884920132430807e+03,1.983229999999999791e+02,2.164134145564923006e+00,1.973101540424503639e+02,1.993358459575495942e+02
4.300000000000000000e+01,3.113742079531838236e+00,8.492069393948843692e-02,3.073997971364981652e+00,3.153486187698694820e+00,1.873013602545122239e+03,2.527258433490598577e+01,1.861185668988924135e+03,1.884841536101320344e+03,1.982394000000000176e+02,2.206570651486153611e+00,1.972066931463211290e+02,1.992721068536789062e+02
4.400000000000000000e+01,3.009882276156374381e+00,1.000743237251856405e-01,2.963046050940257636e+00,3.056718501372491126e+00,1.878118379188482550e+03,2.611867840531890650e+01,1.865894461418144601e+03,1.890342296958820498e+03,1.980915999999999713e+02,2.320412687432991117e+00,1.970056134334417948e+02,1.991775865665581478e+02
4.500000000000000000e+01,2.909494558155258481e+00,1.157710708515911763e-01,2.855312029150053554e+00,2.963677087160463408e+00,1.881062890814565208e+03,2.618066213151812960e+01,1.868809963767402451e+03,1.893315817861727965e+03,1.977698000000000036e+02,2.272206495897766132e+00,1.967063746255589365e+02,1.988332253744410707e+02
4.600000000000000000e+01,2.812850911007595212e+00,1.313812597904225332e-01,2.751362588692080724e+00,2.874339233323109699e+00,1.879938812879565376e+03,2.952151899648960409e+01,1.866122316689809168e+03,1.893755309069321584e+03,1.970683999999999685e+02,2.729287350207005414e+00,1.957910542008434618e+02,1.983457457991564752e+02
4.700000000000000000e+01,2.719827128056284682e+00,1.457189012741554601e-01,2.651628582972299419e+00,2.788025673140269944e+00,1.882393809394787240e+03,2.917487586221660223e+01,1.868739547185757374e+03,1.896048071603817107e+03,1.968032000000000323e+02,2.699907731756774343e+00,1.955396042855333576e+02,1.980667957144667071e+02
4.800000000000000000e+01,2.630073844221714197e+00,1.582451127990358031e-01,2.556012851686221943e+00,2.704134836757206450e+00,1.881089727299737660e+03,2.866355759885471954e+01,1.867674769404226709e+03,1.894504685195248612e+03,1.961410000000000480e+02,2.720779557406296956e+00,1.948676359704411141e+02,1.974143640295589819e+02
4.900000000000000000e+01,2.544392180240596879e+00,1.681158187546488714e-01,2.465711555116342879e+00,2.623072805364850879e+00,1.876935673442994357e+03,3.150009128670042102e+01,1.862193176917276332e+03,1.891678169968712382e+03,1.952599999999999909e+02,3.090083494017601407e+00,1.938137964077593836e+02,1.967062035922405983e+02
5.000000000000000000e+01,2.462710816093153010e+00,1.753691707011882928e-01,2.380635517763084685e+00,2.544786114423221335e+00,1.881358519596052474e+03,2.986137287026786424e+01,1.867382966897290544e+03,1.895334072294814405e+03,1.953106000000000222e+02,2.879995631941133283e+00,1.939627205538251644e+02,1.966584794461748800e+02
