WeightMedian,TimestepsMean,ITERATIONS,NormDeltaVar,WeightMean,Wins,Eta,Omega,WeightMax,LossReg,RewardMean,Epsilon,ReturnsStd,ReturnsMean,OmegaBefore,DualReg,NormDeltaOmega,RewardStd,WeightMin,Traj,DualAfter,Primal,ConfortViolation,DeltaOmega,TimestepsStd,DualBefore
0.0,500.0,10,0.0,0.0,0.0,0.004456650992960495,[[0.99999999]],1.0,0.0,3.0124,1.8401,87.90286445985087,1505.5555555555557,[[0.99999999]],0.0,0.0,3.0061015019456683,0.0,100,8.002054426273384,8.000000000000203,0,[[0.]],0.0,8.466210359699962
0.0,500.0,11,0.0,0.0,0.0,0.004499274841637487,[[0.99999999]],1.0,0.0,2.98404,1.8401,87.36713935500947,1491.4747474747476,[[0.99999999]],0.0,0.0,2.992989354875824,0.0,100,8.002002027434642,7.999999999999825,0,[[0.]],0.0,8.45030245894625
0.0,500.0,12,0.0,0.0,0.0,0.004477929391402688,[[0.99999999]],1.0,0.0,2.99592,1.8401,74.51026516074862,1496.4242424242425,[[0.99999999]],0.0,0.0,3.0009570729352326,0.0,100,8.002028167295588,7.999999999999709,0,[[0.]],0.0,8.458199289968329
0.0,500.0,13,0.0,0.0,0.0,0.004483694038675871,[[0.99999999]],1.0,0.0,2.9952,1.8401,83.65781211338977,1497.6565656565656,[[0.99999999]],0.0,0.0,2.997114772577119,0.0,100,8.002021074447548,8.000000000000124,0,[[0.]],0.0,8.456062563716843
0.0,500.0,14,0.0,0.0,0.0,0.004476000931243947,[[0.99999999]],1.0,0.0,3.00152,1.8401,79.6559380234882,1501.111111111111,[[0.99999999]],0.0,0.0,2.9986659850006636,0.0,100,8.002030518244784,8.000000000000322,0,[[0.]],0.0,8.458933377489066
0.0,500.0,15,0.0,0.0,0.0,0.004470071672652507,[[0.99999999]],1.0,0.0,3.00344,1.8401,86.18662467003253,1500.6868686868686,[[0.99999999]],0.0,0.0,3.0018641152457253,0.0,100,8.002037831824056,8.000000000000222,0,[[0.]],0.0,8.461147801994985
0.0,500.0,16,0.0,0.0,0.0,0.004465445004175143,[[0.99999999]],1.0,0.0,3.00392,1.8401,78.8236800296393,1500.828282828283,[[0.99999999]],0.0,0.0,3.0050598386055474,0.0,100,8.002043558593027,8.000000000000497,0,[[0.]],0.0,8.462879904186192
0.0,500.0,17,0.0,0.0,0.0,0.004488855443263598,[[0.99999999]],1.0,0.0,2.99264,1.8401,86.85028228806736,1496.2424242424242,[[0.99999999]],0.0,0.0,2.994973427327862,0.0,100,8.002014747789495,7.999999999999699,0,[[0.]],0.0,8.454151183690808
0.0,500.0,18,0.0,0.0,0.0,0.004483910934238846,[[0.99999999]],1.0,0.0,2.99408,1.8401,76.79997725571884,1498.1616161616162,[[0.99999999]],0.0,0.0,2.997699943890315,0.0,100,8.002020812394488,8.000000000000373,0,[[0.]],0.0,8.455978661485155
0.0,500.0,19,0.0,0.0,0.0,0.004475572528114184,[[0.99999999]],1.0,0.0,3.00284,1.8401,76.17846717636604,1502.1818181818182,[[0.99999999]],0.0,0.0,2.9981047237213043,0.0,100,8.002031040050475,8.0,0,[[0.]],0.0,8.459096757059026
