DualAfter,NormDeltaVar,WeightMin,Eta,Omega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,TimestepsStd,Traj,WeightMean,OmegaBefore,LossReg,Primal,WeightMedian,TimestepsMean,DeltaOmega,ConfortViolation,Epsilon,DualBefore,Wins,ITERATIONS,RewardStd,DualReg,WeightMax
2.5257052687672674,0.17499907714757157,0.9984694667837662,6528.66940379279,[[2.1801044e-05]],2.5244,2.234314465485599e-12,77.11070575366467,1264.2105263157894,0.0,20,0.9984694667837662,[[2.18010418e-05]],0.0,2.525704990332995,0.998775385909632,500.0,[[2.23431447e-12]],0,1e-07,7.906277421127034,0.0,13,2.918253696990719,0.0,1.0
2.5227059688977276,0.09372835891332265,0.9984699584106943,6530.768777493185,[[2.18010594e-05]],2.5214,1.5391900976696477e-11,70.07838903269882,1266.421052631579,0.0,20,0.9984699584106943,[[2.1801044e-05]],0.0,2.5227059704026127,0.998775779331658,500.0,[[1.5391901e-11]],0,1e-07,7.906273890302674,0.0,14,2.9198188368458755,0.0,1.0
2.5589224466615157,0.14980974691691173,0.9984891870520776,6613.951810138605,[[2.18010627e-05]],2.5576,3.3199389655317376e-12,62.489977035656665,1279.0526315789473,0.0,20,0.9984891870520776,[[2.18010594e-05]],0.0,2.558922287373345,0.9987911669267567,500.0,[[3.31993897e-12]],0,1e-07,7.9389973299675445,0.0,15,2.9566674212701027,0.0,1.0
2.5619277781137155,0.21740850979873194,0.9984952128826403,6640.4570192877945,[[2.18010756e-05]],2.5606,1.2941361120889306e-11,71.37618340025408,1276.421052631579,0.0,20,0.9984952128826403,[[2.18010627e-05]],0.0,2.5619276492384206,0.9987959890462431,500.0,[[1.29413611e-11]],0,1e-07,7.946812225493245,0.0,16,2.9685901771716487,0.0,1.0
2.5987436345097583,0.1301784891677542,0.9985128753154214,6719.384484622175,[[2.18010719e-05]],2.5974,3.771622774430836e-12,76.11319751899204,1299.7894736842106,0.0,20,0.9985128753154214,[[2.18010756e-05]],0.0,2.5987435745768597,0.9988101232238221,500.0,[[-3.77162277e-12]],0,1e-07,7.9782565188933035,0.0,17,3.0040494736272234,0.0,1.0
2.597540939737346,0.11760258357325526,0.9985099005105529,6705.960052741192,[[2.18010565e-05]],2.5962,1.5357844963343132e-11,77.88520567577578,1300.0,0.0,20,0.9985099005105529,[[2.18010719e-05]],0.0,2.5975408703417133,0.9988077426707608,500.0,[[-1.5357845e-11]],0,1e-07,7.974477982350397,0.0,18,2.998023608979756,0.0,1.0
2.5753366355401006,0.1916184895930897,0.9985051268723274,6684.529667290868,[[2.18010696e-05]],2.574,1.3125750760947666e-11,68.6419107496094,1282.842105263158,0.0,20,0.9985051268723274,[[2.18010565e-05]],0.0,2.575336549233893,0.9988039226192241,500.0,[[1.31257508e-11]],0,1e-07,7.962269386303034,0.0,19,2.988398233167728,0.0,1.0
2.6575777860839143,0.6386325770316663,0.9985496372714043,6889.825720907819,[[2.18010733e-05]],2.6562,3.6796968941386725e-12,75.06584367358161,1328.5263157894738,0.0,20,0.9985496372714043,[[2.18010696e-05]],0.0,2.6575777862479635,0.9988395414352527,500.0,[[3.67969689e-12]],0,1e-07,8.038310546631868,0.0,20,3.080422302217668,0.0,1.0
2.665177696453659,0.14047061743820421,0.9985495429379564,6889.377301627687,[[2.18010547e-05]],2.6638,1.862379673899352e-11,78.63925841454076,1334.842105263158,0.0,20,0.9985495429379564,[[2.18010733e-05]],0.0,2.665177696613778,0.9988394659465837,500.0,[[-1.86237967e-11]],0,1e-07,8.040446311258394,0.0,21,3.080222323144874,0.0,1.0
2.6113578194340707,0.06758466947393327,0.9985283072713766,6789.895428426439,[[2.18010636e-05]],2.61,8.892953183608143e-12,74.83951435296235,1303.6842105263158,0.0,20,0.9985283072713766,[[2.18010547e-05]],0.0,2.6113578407858276,0.9988224724446594,500.0,[[8.89295318e-12]],0,1e-07,7.999900916444835,0.0,22,3.035770083520819,0.0,1.0
