TimestepsMean,ITERATIONS,DualBefore,DeltaOmega,WeightMin,OmegaBefore,Traj,RewardMean,LossReg,Epsilon,NormDeltaOmega,Wins,NormDeltaVar,WeightMax,Eta,Omega,RewardStd,ConfortViolation,WeightMedian,DualReg,DualAfter,Primal,ReturnsMean,ReturnsStd,TimestepsStd,WeightMean
500.0,10,7.225536707663418,[[-0.00152917]],0.01637470328586431,[[0.92286128]],100,2.60736,0.0,0.8201,0.0015291681863162099,0.0,0.3041149367306204,1.0,2.431896195499313,[[0.92133211]],2.696262937919817,0,0.03726822865241066,0.0,6.562767460599157,6.562766212508134,1302.5858585858587,68.43075244967343,0.0,0.01637470328586431
500.0,11,7.250444539447127,[[0.00228166]],0.016265605539919535,[[0.92133211]],100,2.63324,0.0,0.8201,0.002281661163573312,0.0,0.4558008424170552,1.0,2.4279490990152124,[[0.92361378]],2.7150630015526342,0,0.0370694539526542,0.0,6.599965068843831,6.5999651822848735,1315.919191919192,76.2335164190242,0.0,0.016265605539919535
500.0,12,7.2314773363643985,[[-0.00084513]],0.016256883413856837,[[0.92361378]],100,2.62004,0.0,0.8201,0.0008451294424194344,0.0,0.17026550083993897,1.0,2.427632950467008,[[0.92276865]],2.705570253828202,0,0.03705355085990825,0.0,6.579494222870386,6.579494327975713,1310.080808080808,69.9332548700598,0.0,0.016256883413856837
500.0,13,7.216673330861626,[[-0.00048566]],0.01612800990769698,[[0.92276865]],100,2.61896,0.0,0.8201,0.0004856586822660214,0.0,0.09707309931464891,1.0,2.422951491678058,[[0.92228299]],2.7008903195798233,0,0.03681837571989799,0.0,6.571653390355204,6.571653444786269,1309.959595959596,73.11536742280725,0.0,0.01612800990769698
500.0,14,7.212971906533161,[[0.00034991]],0.01607603028862567,[[0.92228299]],100,2.61992,0.0,0.8201,0.00034990548560642765,0.0,0.06988266932032161,1.0,2.42105782739669,[[0.92263289]],2.7018547691539605,0,0.0367234143323328,0.0,6.572066661245836,6.572066693387919,1307.979797979798,63.430225691481816,0.0,0.01607603028862567
500.0,15,7.235513705570449,[[0.0015908]],0.01612263117905402,[[0.92263289]],100,2.63236,0.0,0.8201,0.0015908030447342458,0.0,0.3214114246833617,1.0,2.422755685845926,[[0.9242237]],2.7146493015489126,0,0.03680855218141385,0.0,6.5952851127828405,6.59528515697071,1316.6060606060605,69.95840296266944,0.0,0.01612263117905402
500.0,16,7.243651515477502,[[0.00355528]],0.015906244658348074,[[0.9242237]],100,2.6522,0.0,0.8201,0.003555281374242325,0.0,0.7413407432747334,1.0,2.4148502659918325,[[0.92777898]],2.7346947105664277,0,0.036412804258830776,0.0,6.624922107938463,6.624922109316375,1326.5454545454545,70.89432635720487,0.0,0.015906244658348074
500.0,17,7.246722746852774,[[0.00041764]],0.015694043802128212,[[0.92777898]],100,2.67004,0.0,0.8201,0.0004176423331743173,0.0,0.08928104205752163,1.0,2.4070435789590525,[[0.92819662]],2.740468280860043,0,0.03602366442240991,0.0,6.641595045038821,6.641594367389662,1335.2727272727273,69.58372882222113,0.0,0.015694043802128212
500.0,18,7.236908250330523,[[-0.00065542]],0.015725996958603532,[[0.92819662]],100,2.66088,0.0,0.8201,0.0006554185745992758,0.0,0.13989892073903576,1.0,2.408222589658848,[[0.9275412]],2.734292893162691,0,0.036082327983329845,0.0,6.628653301679192,6.628652457814194,1331.3737373737374,74.4144259201261,0.0,0.015725996958603532
500.0,19,7.233479675129379,[[-7.39512375e-05]],0.015859581079509397,[[0.9275412]],100,2.6484,0.0,0.8201,7.395123749120991e-05,0.0,0.01571154344805592,1.0,2.4131381995905685,[[0.92746725]],2.7306661165364026,0,0.03632732080959605,0.0,6.616944468803377,6.616941964213517,1323.6363636363637,61.51249434476083,0.0,0.015859581079509397
