RewardMean,WeightMedian,WeightMin,LossReg,RewardStd,Wins,DeltaOmega,ConfortViolation,Primal,ITERATIONS,TimestepsStd,ReturnsMean,Omega,Traj,DualReg,WeightMax,NormDeltaVar,DualBefore,OmegaBefore,TimestepsMean,Eta,ReturnsStd,NormDeltaOmega,Epsilon,DualAfter,WeightMean
3.1156,0.7790951616202512,0.7319613240957186,0.0,3.501233588322836,0.0,[[-0.0164078]],0,3.5237423498208895,10,0.0,1551.578947368421,[[0.36932341]],20,0.0,1.0,0.9975524402981035,8.295594221614202,[[0.38573121]],500.0,32.04844675483185,88.71380109179813,0.016407801161548774,0.0065001,3.5237422400668033,0.7319613240957186
3.202,0.7826622125631031,0.7361527823625091,0.0,3.574016787873275,0.0,[[-0.01090235]],0,3.618178344033953,11,0.0,1598.6315789473683,[[0.35842107]],20,0.0,1.0,0.6729041272977234,8.36603751564945,[[0.36932341]],500.0,32.64585546451717,96.70367680720958,0.010902345667212765,0.0065001,3.6181782305154657,0.7361527823625091
3.2436,0.7847795732912723,0.7386430452603526,0.0,3.6190411768864967,0.0,[[-0.01076924]],0,3.6647120935724713,12,0.0,1612.0,[[0.34765183]],20,0.0,1.0,0.6736169548428226,8.396901513224753,[[0.35842107]],500.0,33.00978258713655,95.4413570292195,0.010769240095143184,0.0065001,3.6647119803777244,0.7386430452603526
3.3442,0.7878570744815795,0.7422655402185763,0.0,3.687265431183386,0.0,[[-0.0117653]],0,3.7727254582366307,13,0.0,1675.3684210526317,[[0.33588652]],20,0.0,1.0,0.7471815337911227,8.457354906051396,[[0.34765183]],500.0,33.55161691854502,71.82743247117818,0.011765301789794347,0.0065001,3.7727255355697267,0.7422655402185763
3.3486,0.7879335570367584,0.7423556121615784,0.0,3.6888044187785294,0.0,[[0.00070737]],0,3.777302253671838,14,0.0,1668.0,[[0.3365939]],20,0.0,1.0,0.045278147928730306,8.461418637617175,[[0.33588652]],500.0,33.565281855629834,72.57373745661066,0.0007073713815743399,0.0065001,3.777302331626898,0.7423556121615784
3.4048,0.7901030583517588,0.7449114993152268,0.0,3.737290055641922,0.0,[[-0.0090761]],0,3.838814705276685,15,0.0,1707.4736842105262,[[0.3275178]],20,0.0,1.0,0.5846151721850639,8.501905701205699,[[0.3365939]],500.0,33.9570265074334,123.75840999431647,0.00907609598426018,0.0065001,3.8388148025596047,0.7449114993152268
3.4778,0.7923829372290638,0.7475993134265038,0.0,3.7906868981755797,0.0,[[-0.01126835]],0,3.9175933418253654,16,0.0,1739.578947368421,[[0.31624945]],20,0.0,1.0,0.7375519755191426,8.543083968475635,[[0.3275178]],500.0,34.377477977128876,113.47075477128745,0.011268353526298791,0.0065001,3.9175934599319753,0.7475993134265038
3.5808,0.7951650040120157,0.7508817907583979,0.0,3.857495477638308,0.0,[[-0.01156935]],0,4.02782163289349,17,0.0,1793.578947368421,[[0.30468009]],20,0.0,1.0,0.772111617807365,8.60205135882403,[[0.31624945]],500.0,34.903156055519744,70.31232263751099,0.011569352634705043,0.0065001,4.027821620088819,0.7508817907583979
3.694,0.7975678374759444,0.7537191340772895,0.0,3.9189748659566574,0.0,[[-0.01296299]],0,4.147554327048609,18,0.0,1847.6842105263158,[[0.29171711]],20,0.0,1.0,0.884991016934217,8.651918418200154,[[0.30468009]],500.0,35.368748003013515,79.11687066850364,0.012962985004553507,0.0065001,4.147554317955714,0.7537191340772895
3.7766,0.7997096885730153,0.7562501032767949,0.0,3.9728192055516445,0.0,[[-0.00875638]],0,4.235984963911715,19,0.0,1892.3157894736842,[[0.28296073]],20,0.0,1.0,0.6109061811219938,8.701072802958723,[[0.29171711]],500.0,35.79314144707679,85.15314540135996,0.008756378075895965,0.0065001,4.235984957757325,0.7562501032767949
