ITERATIONS,ReturnsMean,RewardStd,Wins,WeightMean,Traj,LossReg,DualReg,DualAfter,RewardMean,Primal,NormDeltaOmega,ReturnsStd,ConfortViolation,DualBefore,WeightMedian,Omega,DeltaOmega,Epsilon,NormDeltaVar,TimestepsMean,OmegaBefore,Eta,TimestepsStd,WeightMax,WeightMin
10,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
11,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
12,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
13,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
14,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
15,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
16,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
17,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
18,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
19,4990.0,0.4467661580737735,0.0,0.0,100,0.0,0.0,10.000907316982653,9.98,9.999999999997792,0.0,0.0,0,10.128098088311146,1.0,[[2.25809076e-09]],[[0.]],0.1301,0.0,500.0,[[2.25809076e-09]],0.007082991159659848,0.0,1.0,0.0
