Wins,ConfortViolation,Primal,WeightMean,ITERATIONS,NormDeltaOmega,RewardStd,Traj,DeltaOmega,TimestepsStd,Omega,Eta,LossReg,OmegaBefore,DualAfter,ReturnsMean,DualReg,NormDeltaVar,DualBefore,ReturnsStd,RewardMean,TimestepsMean,Epsilon,WeightMedian,WeightMin,WeightMax
0.0,0,4.35394520946146,0.707338974662209,10,0.01831937774068948,3.974272007600889,100,[[-0.01831938]],0.0,[[0.27471813]],28.881260710911384,0.0,[[0.2930375]],4.353945535663706,1888.7878787878788,0.0,1.2876825445132951,8.703750078583303,110.98450822163166,3.77936,500.0,0.0101,0.7580573637629235,0.707338974662209,1.0
0.0,0,4.5835750334549035,0.712687134693349,11,0.020547145467883388,4.0847975801011245,100,[[-0.02054715]],0.0,[[0.25417098]],29.5235411678454,0.0,[[0.27471813]],4.583575023515852,1998.5454545454545,0.0,1.5096341480065867,8.802927607830222,118.74931346763995,3.99464,500.0,0.0101,0.7626392189686506,0.712687134693349,1.0
0.0,0,4.8423975884705595,0.7172513820343677,12,0.02101681132689745,4.187902558560789,100,[[-0.02101681]],0.0,[[0.23315417]],30.09067246971988,0.0,[[0.25417098]],4.842397559291962,2121.010101010101,0.0,1.629952685894148,8.90068179261344,122.76424766205429,4.2404,500.0,0.0101,0.7665440465427901,0.7172513820343677,1.0
0.0,0,5.15923754690305,0.7212401345495706,13,0.024277075410453375,4.2891381168715,100,[[-0.02427708]],0.0,[[0.20887709]],30.60133400597731,0.0,[[0.23315417]],5.159237538059112,2271.373737373737,0.0,2.016020743028193,9.005877752011562,113.33178126019106,4.54488,500.0,0.0101,0.7699524559065176,0.7212401345495706,1.0
0.0,0,5.500789972680859,0.7242794951672311,14,0.02312345320206491,4.376850883272128,100,[[-0.02312345]],0.0,[[0.18575364]],31.00026207826364,0.0,[[0.20887709]],5.500789963755625,2437.010101010101,0.0,2.087633773040551,9.115046868814243,132.14940236124505,4.87616,500.0,0.0101,0.7725470743209477,0.7242794951672311,1.0
0.0,0,5.889792285887127,0.7254470734030883,15,0.023065007059913573,4.435120165948156,100,[[-0.02306501]],0.0,[[0.16268863]],31.155835264584105,0.0,[[0.18575364]],5.8897923116861195,2631.8585858585857,0.0,2.2930880459535743,9.222973093739443,129.02000550388465,5.25944,500.0,0.0101,0.7735432243884637,0.7254470734030883,1.0
0.0,0,6.322863195144401,0.7243065122689964,16,0.023279121572517852,4.454742397759942,100,[[-0.02327912]],0.0,[[0.13940951]],31.00384721250467,0.0,[[0.16268863]],6.3228631938615845,2847.4141414141413,0.0,2.5977883163173594,9.329704635035679,134.12138404671444,5.69264,500.0,0.0101,1.0,0.7243065122689964,1.0
0.0,0,6.792893582201709,0.7203268946640038,17,0.023232576791300974,4.4265299268840375,100,[[-0.02323258]],0.0,[[0.11617693]],30.483144150156605,0.0,[[0.13940951]],6.792893689672537,3084.5454545454545,0.0,2.9848502934347394,9.435795512727502,124.48806463639235,6.16992,500.0,0.0101,1.0,0.7203268946640038,1.0
0.0,0,7.200991507806644,0.714066551680157,18,0.018274107484385876,4.354784085761314,100,[[-0.01827411]],0.0,[[0.09790283]],29.69305299223473,0.0,[[0.11617693]],7.2009906050699914,3294.808080808081,0.0,2.7372036296961326,9.520322220287227,125.7272723215119,6.59108,500.0,0.0101,1.0,0.714066551680157,1.0
0.0,0,7.669549734063,0.7027001670588201,19,0.01910622560096585,4.21035680312251,100,[[-0.01910623]],0.0,[[0.0787966]],28.342664155131754,0.0,[[0.09790283]],7.66954899455306,3542.3232323232323,0.0,3.4009167173490518,9.609324733036246,134.1130857272677,7.08352,500.0,0.0101,1.0,0.7027001670588201,1.0
