Omega,D_KL_PQ_2,Eta,LossReg,NormDeltaVar,RewardStd,Epsilon,D_KL_P_HAT_Q,TimestepsStd,D_KL_PQ,ReturnsStd,TimestepsMean,ReturnsMean,ITERATIONS,OmegaBefore,DeltaOmega,RewardMean,DualReg,DualAfter,DualBefore
[2.81053452],0.571677113413827,12.889081624871277,1e-07,0.5465337163078479,0.4456974446090897,1.0,0.011437186680836667,20.604937660667648,0.5716771134138412,206.61915886859936,187.888,1845.0563143704412,194,[2.82462756],[-0.01409304],9.81997953233012,0.0001,9.891672412728653,10.843549058870744
[2.79607248],0.536928809616029,13.233683685022477,1e-07,0.055652312327919166,0.41324648107466816,1.0,0.009815016664595137,21.65716980586337,0.53692880961691,217.06252019795295,188.114,1848.112157849087,195,[2.81053452],[-0.01446204],9.824426453369163,0.0001,9.895945979349472,10.845011499410589
[2.78265675],0.5493848893803772,13.106162028457055,1e-07,0.311353264701198,0.4124534144418054,1.0,0.010515028003427162,22.164482940055244,0.5493848893803204,222.13290221093933,187.764,1844.9913334686137,196,[2.79607248],[-0.01341573],9.826118603505538,0.0001,9.896495020536003,10.846203489569536
[2.76678803],0.5279773844793851,13.320732381273212,1e-07,0.32055125125190737,0.4292462314840541,1.0,0.008741678476852765,22.091145375466613,0.5279773844790725,221.50159366631658,187.036,1837.8471655525482,197,[2.78265675],[-0.01586872],9.82616804012355,0.0001,9.900002038694625,10.847568790299642
[2.75057499],0.5559295972939395,13.047571747148316,1e-07,0.2743813123900764,0.4419723695973881,1.0,0.014885052401666736,22.59481391824239,0.5559295972938401,226.4898831480617,186.372,1831.4619298571545,198,[2.76678803],[-0.01621304],9.826915683993057,0.0001,9.899546838892611,10.849244748366363
[2.73966802],0.7776801191405838,10.360961161361281,1e-07,0.2482893299927641,0.5139275314708678,1.0,0.020112317325494906,23.308906023234982,0.777680119140669,233.67503577291825,181.73,1784.8752396479142,199,[2.75057499],[-0.01090696],9.821577283045805,0.0001,9.881822944660536,10.851831447132245
[2.73245343],0.9775559675852108,4.824243627417205,1e-07,0.6109258900747472,0.5614326752757953,1.0,0.009402147911865255,26.49930383991247,0.9775559675852179,264.9566729234128,176.164,1729.522297174237,200,[2.73966802],[-0.00721459],9.81768293847913,0.0001,9.857479395169738,10.855194077981496
[2.72026951],0.7005377391001986,11.43485629098927,1e-07,0.3160940608280809,0.5334136732720873,1.0,0.02696214479002294,26.1366498235715,0.7005377391007102,261.55264611709106,178.244,1750.616385964937,201,[2.73245343],[-0.01218392],9.821460391176908,0.0001,9.891037710477487,10.853011855113085
[2.70584366],0.5957005034520506,12.638393396045364,1e-07,0.25334077752249157,0.46562512264802464,1.0,0.013452242510582193,22.49330887175117,0.5957005034518374,225.48626096487678,185.916,1827.512508836402,202,[2.72026951],[-0.01442586],9.829775322384311,0.0001,9.90128334352345,10.854241539579315
[2.69174594],0.5433542491666401,13.165155580061356,1e-07,0.1102802639871702,0.46445378657669806,1.0,0.010782682773442345,22.33588467018936,0.5433542491670948,223.9718758678716,186.016,1828.7970082512193,203,[2.70584366],[-0.01409772],9.831396268338311,0.0001,9.906708799818105,10.855383047659371
[2.67816616],0.5343050032412862,13.253892858450476,1e-07,0.5521742606651482,0.4220292050116176,1.0,0.010054981443787067,22.37337918151838,0.5343050032417125,224.44420838318686,187.352,1842.9368623336618,204,[2.69174594],[-0.01357977],9.836761082527339,0.0001,9.909063322926508,10.85774504906113
[2.6645507],0.511970767528851,13.470143726798883,1e-07,0.03798318877291525,0.3993484768450016,1.0,0.009035246815307565,19.52735517165599,0.5119707675293625,196.34000755673497,189.88,1868.4426423079726,205,[2.67816616],[-0.01361546],9.84012345854209,0.0001,9.912156629762151,10.858859494739601
[2.64875068],0.5386648953974031,13.216467404246158,1e-07,0.049016398843956664,0.44023095731418094,1.0,0.009486649509751319,22.637718612969813,0.5386648953968063,227.2002189770905,186.264,1832.4873575485642,206,[2.6645507],[-0.01580002],9.838118785962742,0.0001,9.911886592139007,10.860411297158503
[2.63563157],0.5851281943552493,12.765214678670691,1e-07,0.056538327344304196,0.4589889563110483,1.0,0.01267716845813895,22.97045711343159,0.5851281943554341,230.5443099429923,185.19,1821.9137631435278,207,[2.64875068],[-0.01311912],9.838078530933245,0.0001,9.909620206636719,10.862397718449346
[2.62155043],0.5801659125198171,12.79948382543272,1e-07,0.06836692816967214,0.46975380688501184,1.0,0.009164399697479668,22.845447336395054,0.5801659125201581,229.3634357455634,184.744,1817.5998814630673,208,[2.63563157],[-0.01408114],9.838478551200945,0.0001,9.911548435756687,10.864402081229093
[2.61029895],0.6216508023032503,12.373684959678068,1e-07,0.0832010876608206,0.463143952387745,1.0,0.00973915968742217,22.063381064560346,0.6216508023032503,221.67530664018145,185.596,1826.3559572487466,209,[2.62155043],[-0.01125148],9.84049202164242,0.0001,9.909408108965321,10.864114440367564
[2.59705474],0.6696213228705972,11.812047321098945,1e-07,0.11410772124251876,0.5119811068777158,1.0,0.007786426176617255,23.657465967427704,0.6696213228699861,237.5161856688662,181.452,1784.9287434663902,210,[2.61029895],[-0.01324422],9.836919645230639,0.0001,9.90678070796319,10.866126641148872
[2.58533093],0.705306031767492,11.375012167619836,1e-07,0.14839189558282193,0.4911616275455312,1.0,0.009846015715330619,23.980348204310964,0.7053060317665683,240.67669197425562,182.77,1798.526125632228,211,[2.59705474],[-0.0117238],9.840379305313936,0.0001,9.904960899794332,10.868646054233219
[2.57310733],0.6464262094512208,12.091742683428276,1e-07,1.2122608122307097,0.47919782450605136,1.0,0.008024612666287649,23.779131943786343,0.6464262094514339,238.70967000546455,183.622,1807.3481870222577,212,[2.58533093],[-0.01222361],9.842764957479268,0.0001,9.911243450490142,10.868345700799109
[2.56094097],0.5751328165764988,12.856973365699792,1e-07,0.07633076891011818,0.43336433119557477,1.0,0.008031983264449235,22.647915489068744,0.575132816576172,227.56185458545153,186.382,1835.5486291371906,213,[2.57310733],[-0.01216636],9.84831490775499,0.0001,9.918220870875878,10.868997189621144
[2.54745093],0.577483252217462,12.827778495288396,1e-07,0.18869054685929995,0.44469872294029944,1.0,0.006668673043598701,22.367914878235744,0.577483252217661,224.90036150637386,185.872,1830.5572059969452,214,[2.56094097],[-0.01349004],9.848482859155467,0.0001,9.919391736791201,10.870463295963757
[2.53647144],0.6569896289602468,11.973585159649616,1e-07,0.1489293176922163,0.47636069836292944,1.0,0.012342577189104432,23.091047962359784,0.6569896289598063,231.99842252329506,184.252,1814.3181403531312,215,[2.54745093],[-0.01097949],9.846938651157823,0.0001,9.914134348873526,10.872268929268078
[2.52251305],0.6919589570440507,11.561254311899615,1e-07,0.6551646920830413,0.4929870690984264,1.0,0.007116299744146254,23.396397927886248,0.6919589570442923,235.03288717095444,183.242,1804.2853734156988,216,[2.53647144],[-0.01395839],9.846461910564711,0.0001,9.912591796012391,10.873087516083356
[2.51249478],0.7756982054553418,10.39463016033446,1e-07,0.5429908968245848,0.5300748536557639,1.0,0.010479763467952645,24.57067813471985,0.7756982054551713,246.65995512306694,179.924,1771.178889070957,217,[2.52251305],[-0.01001827],9.844039089120724,0.0001,9.905956398616224,10.875224321001848
[2.50041265],0.6952779474383135,11.512656260494719,1e-07,0.182609136983628,0.49484011858953314,1.0,0.0057020780860439655,23.436541980420234,0.6952779474386261,235.57330214669253,182.75,1799.8446769373552,218,[2.51249478],[-0.01208213],9.848671282830946,0.0001,9.914482325530134,10.87563771815608
[2.49035381],0.7912934136953851,10.15487773895449,1e-07,0.2276148097780557,0.549463598321049,1.0,0.011513327255992054,25.485405627535147,0.7912934136954988,255.71063492205724,177.79,1750.1837920634603,219,[2.50041265],[-0.01005884],9.844107047997413,0.0001,9.90667525393481,10.878169159458073
[2.48040912],0.7977744332636689,10.040511691721454,1e-07,2.7932374952581616,0.5602198474655441,1.0,0.005954176534383872,26.364369592311515,0.7977744332628589,264.4278217970726,175.996,1732.4808874305454,220,[2.49035381],[-0.00994469],9.843865130062872,0.0001,9.907012063227036,10.878628737987238
[2.48039391],1.0111282358568443,0.01797230537156269,1e-07,1.6999787404217343e-05,0.6662959197619853,1.0,0.029756457984456072,30.06312152787864,1.0111282358568454,299.97059859897075,164.082,1613.1882766336128,221,[2.48040912],[-1.5210563e-05],9.831598082870837,0.0001,9.221023723346407,10.8804519643921
[2.47457494],0.9151890024077431,7.518128681488647,1e-07,1.4708123396091737,0.6524995512250273,1.0,1.3689206052937962e-07,30.49426831389794,0.9151890024080132,304.4724386087669,164.74,1619.966429365805,222,[2.48039391],[-0.00581897],9.833473530203989,0.0001,9.894348078784517,10.880246975312918
[2.46582289],0.823399746809244,9.590446625432243,1e-07,0.46578645859739276,0.6460613600084547,1.0,0.004436397242513097,32.52258513710127,0.8233997468083913,324.58340980075496,163.884,1611.7826131639931,223,[2.47457494],[-0.00875205],9.834899155280523,0.0001,9.905802213941177,10.881896173582694
[2.45509929],0.736361497594217,10.959469331629657,1e-07,0.3014587779081557,0.5841880898130497,1.0,0.0372772238468767,28.95099998272944,0.7363614975944159,289.90630545752265,172.14,1694.4622301329725,224,[2.46582289],[-0.0107236],9.843512432514073,0.0001,9.915308131003343,10.880415868710443
[2.4438284],0.7120617620548018,11.294839152615914,1e-07,0.5206188396075209,0.5933799124607584,1.0,0.008954214228226844,28.766434537495257,0.7120617620542049,287.99040299110175,171.838,1691.4906170893432,225,[2.45509929],[-0.01127089],9.843518995154408,0.0001,9.918530319987068,10.883322954487618
[2.43271934],0.7710798821985207,10.455582247147415,1e-07,0.4892596606134166,0.5846111864556425,1.0,0.006596905684980077,28.3962625005475,0.7710798821986486,284.28433193115717,173.674,1709.93460667017,226,[2.4438284],[-0.01110905],9.845656843685124,0.0001,9.91422088164424,10.882808472365706
[2.42233084],0.7617299021286073,10.594769435929772,1e-07,1.0172447389545518,0.5960882035679129,1.0,0.007077966716264283,28.356284382831262,0.7617299021283657,284.06991447975565,171.444,1687.9329848017835,227,[2.43271934],[-0.01038851],9.845389659607704,0.0001,9.916228428559933,10.885467287362689
[2.41124853],0.6825850297202436,11.666743941920059,1e-07,0.35317058171988264,0.5548014792347858,1.0,0.013088232630249297,27.515094039454052,0.6825850297201441,275.8161204437672,176.54,1739.129203730992,228,[2.42233084],[-0.01108231],9.851190686139073,0.0001,9.924353514424379,10.88567028003102
[2.40065934],0.7576015516089427,10.656680907119688,1e-07,0.20883731414660134,0.562225321321562,1.0,0.016401898394129744,25.987408951259454,0.7576015516089996,260.6642148718712,177.476,1748.3913290189807,229,[2.41124853],[-0.01058919],9.851424018002325,0.0001,9.918585936833777,10.886505732771067
[2.39081159],0.7128889300811352,11.28310501681513,1e-07,0.7034479113697645,0.5759304699086326,1.0,0.007182614628249983,28.606498842046367,0.712888930082002,286.6099641127749,173.832,1712.390238415166,230,[2.40065934],[-0.00984775],9.850834359698824,0.0001,9.923648265372778,10.888058571614488
[2.38077388],0.8020178478773516,9.962290808699674,1e-07,0.6596148834900498,0.5680473346826725,1.0,0.0049903960083390675,27.71984386680416,0.8020178478770816,278.023307096555,174.516,1719.4605128531787,231,[2.39081159],[-0.01003771],9.852738504510638,0.0001,9.916265661567062,10.888889683534575
[2.36919273],0.6637395837165627,11.90009205911376,1e-07,0.8445086246754634,0.5309345379988937,1.0,0.020496069048700705,25.108259915812564,0.6637395837165627,251.9542585500722,181.222,1786.4609070014183,232,[2.38077388],[-0.01158116],9.857858907866696,0.0001,9.929925039185795,10.888668142960807
[2.35802273],0.631221831718193,12.26647905304391,1e-07,0.6048767529665193,0.4877810719210386,1.0,0.007138538660771556,24.581334382006197,0.6312218317178377,246.9116256462698,183.7,1811.9125913789583,233,[2.36919273],[-0.01117],9.863432723891988,0.0001,9.933714702167729,10.889983078691131
[2.34589863],0.629299926854813,12.279884913762666,1e-07,1.0409769607392771,0.4890210719034451,1.0,0.006578018581310229,24.00807364200635,0.629299926854884,241.35618554104013,183.62,1811.2913164993222,234,[2.35802273],[-0.0121241],9.864346566274493,0.0001,9.93495477593168,10.889471144470011
[2.33406245],0.579359475166612,12.806598740220041,1e-07,0.12217776855428106,0.4445202492306084,1.0,0.008153355668320752,22.669105937376536,0.5793594751665978,228.06307438622912,186.806,1843.72694799378,235,[2.34589863],[-0.01183618],9.869741592849161,0.0001,9.94008989861421,10.892017097446491
[2.32195617],0.6289591160050776,12.285957013657352,1e-07,0.05402923485245508,0.4858727872612486,1.0,0.008045454323243712,23.93282423785375,0.628959116005646,240.72914831047206,183.618,1811.7483843499206,236,[2.33406245],[-0.01210629],9.866943242764437,0.0001,9.937226726432886,10.893315336568437
[2.3100697],0.5879252124363461,12.721220077908024,1e-07,0.13811613569710326,0.46799648853944925,1.0,0.007524013789646073,21.972298468753788,0.5879252124367724,221.4354773904439,185.51,1830.9404324267457,237,[2.32195617],[-0.01188646],9.86976676420002,0.0001,9.941634742088302,10.894720575612032
[2.30005624],0.7149633171874683,11.253696174146537,1e-07,0.10003451597980509,0.49560243974092727,1.0,0.008850636764732795,23.96271261773174,0.7149633171885768,241.1076906420019,182.898,1804.8690558873652,238,[2.3100697],[-0.01001346],9.868172729539774,0.0001,9.931984362683895,10.895705531339265
[2.28861581],0.6831634697167743,11.659024936338492,1e-07,0.6616261127676175,0.5018765813720492,1.0,0.005497786964062582,25.181286623204937,0.6831634697169022,253.40302296257445,180.702,1783.2600869213898,239,[2.30005624],[-0.01144043],9.86851328110032,0.0001,9.935799119064074,10.896076481752617
[2.27994952],0.7073240746604483,11.337178070126997,1e-07,0.1387143910343425,0.5191151029447686,1.0,0.00620111964324788,25.267766343703595,0.7073240746600646,254.2393421421887,179.772,1773.9360359413092,240,[2.28861581],[-0.00866629],9.86769928543549,0.0001,9.934469012000196,10.89883891818608
[2.26961179],0.7434278812031039,10.8647114791236,1e-07,1.8196025894111025,0.5227057550113402,1.0,0.006277256270059803,25.924612166819394,0.7434278812028197,260.6509405300142,179.478,1771.1170307643397,241,[2.27994952],[-0.01033774],9.86815671427328,0.0001,9.932226948015963,10.898795841113444
[2.25979935],0.8181047651121673,9.702721674648807,1e-07,1.0063794978234015,0.5933614187926334,1.0,0.008055765271860037,28.677342973155653,0.8181047651122668,287.6463698475131,171.9,1695.1267411735496,242,[2.26961179],[-0.00981244],9.861121240102092,0.0001,9.925864861524582,10.900459450509228
[2.24984488],0.7394017832432667,10.924045979096814,1e-07,0.28433740772038857,0.586939957465874,1.0,0.005500065202871809,28.050531830965348,0.7394017832430677,281.52290606106584,172.892,1705.1878692435068,243,[2.25979935],[-0.00995447],9.86273436158704,0.0001,9.934362353627218,10.900669912451386
[2.24390416],0.8325068154685198,9.422532532507674,1e-07,1.120834030673412,0.6413055924450866,1.0,0.00990486478133476,29.001406862426517,0.8325068154686619,290.45193720359475,167.52,1651.2139932454309,244,[2.24984488],[-0.00594072],9.85681705614512,0.0001,9.925746370971341,10.90324788797298
[2.23973371],0.9606284658306876,5.821693895582386,1e-07,0.32349986781712115,0.6651404095496017,1.0,0.0031190020336928294,31.91870993633671,0.9606284658310784,318.9735070282736,163.634,1612.4834717099252,245,[2.24390416],[-0.00417045],9.854207999009528,0.0001,9.909650663285218,10.903460863427023
[2.23987152],1.0064396803654283,0.031674759559570866,1e-07,1.1912339865730615,0.6679728160090006,1.0,0.0070483196680001395,34.87165863563131,1.0064396803654256,348.4008280528993,159.632,1573.0525441354857,246,[2.23973371],[0.00013781],9.85424316011505,0.0001,8.635049238145006,10.90260262122237
[2.23562704],0.9815509390560706,4.506244039340785,1e-07,0.7956512552210132,0.8738285628992615,1.0,0.049449478527842906,37.15773599131142,0.9815509390560848,369.05125236582967,120.216,1180.7254469159614,247,[2.23987152],[-0.00424448],9.821699664902855,0.0001,9.905940973798403,10.895957214380802
[2.23624282],1.0345433038874141,0.005789838870544082,1e-07,1.5499819341667322,0.7629293211875636,1.0,0.043270508938129386,37.271692797617874,1.0345433038874141,371.49987586998424,140.946,1387.000802425562,248,[2.23562704],[0.00061578],9.840653884647752,0.0001,-4.287603408473149,10.900312831663218
[2.23564361],1.0027662446331067,0.07271244609461955,1e-07,1.674842460128813,0.9575539801892357,1.0,0.06066538353299789,34.017643128235676,1.002766244633107,337.5073276200543,103.134,1011.3636014551602,249,[2.23624282],[-0.00059921],9.806306372827198,0.0001,9.799738752189475,10.89406492867676
[2.23070923],0.9743066457924527,5.050802689110189,1e-07,2.3638171474677665,1.0327171244895943,1.0,0.035469137472931046,30.958295754127032,0.9743066457924314,306.98277299742773,89.618,877.4397706254116,250,[2.23564361],[-0.00493438],9.790887663476218,0.0001,9.907947214416053,10.89258506580729
[2.22541487],0.9731344290482227,5.1272315958272685,1e-07,1.1017293070466,0.9070615380593999,1.0,0.20206105796013166,33.94835112343455,0.9731344290479385,336.9675063861491,114.116,1120.2146117908726,251,[2.23070923],[-0.00529435],9.81645528927471,0.0001,9.908640063784002,10.896825315221745
[2.22491327],1.0246287343395801,0.008120595946748103,1e-07,1.32901775774236,0.7614143842265656,1.0,0.06868705384758753,37.00137700140361,1.0246287343395815,368.7758571106891,142.21,1399.6071455612532,252,[2.22541487],[-0.0005016],9.841833524796098,0.0001,2.4040639299919375,10.901567235366304
[2.22555716],1.0042825829667246,0.04670039653681694,1e-07,0.7085461845115852,0.9302389506711849,1.0,0.05140942151866296,34.1785576641262,1.0042825829667272,339.41665493720296,108.014,1059.8991137235869,253,[2.22491327],[0.00064389],9.8126086777972,0.0001,9.51489432668998,10.89531782172173
[2.22507496],1.02127770792342,0.00939950060496003,1e-07,1.4762324159219384,0.8574532614385477,1.0,0.026181916424362812,36.83016562547608,1.0212777079234234,366.11446835872357,123.07,1209.2800122978128,254,[2.22555716],[-0.00048221],9.825952809765278,0.0001,3.433437508346695,10.899667571762095
[2.22121954],0.9881617494733703,3.904958981760572,1e-07,1.8901190887591715,0.9840118549310429,1.0,0.048490229756593,31.87132096415208,0.9881617494734982,316.1855225107065,98.23,962.850056920989,255,[2.22507496],[-0.00385541],9.801995896579344,0.0001,9.905692474773403,10.894614704751547
[2.218323],0.9336415807689633,6.931072207501064,1e-07,0.8416885613938835,0.8407669413046798,1.0,0.2151842654827994,36.42834632535493,0.9336415807689349,362.30520601525393,126.672,1245.075258897973,256,[2.22121954],[-0.00289655],9.829127659608858,0.0001,9.915655033265324,10.899277467026335
[2.21830809],1.0039963036112391,0.05008717388977996,1e-07,2.7820408121744863e-05,0.6990584325355409,1.0,0.07176827411930607,34.59043677087643,1.0039963036112356,345.40932525969174,155.322,1530.198897459765,257,[2.218323],[-1.49026023e-05],9.851784663214257,0.0001,9.803667040921418,10.904972488562533
[2.2115417],0.92524250482289,7.19557741914797,1e-07,0.3513054110146026,0.6640989330026729,1.0,-1.83015628573926e-07,35.17233662980041,0.92524250482289,351.54707738995967,159.356,1570.715278513941,258,[2.21830809],[-0.0067664],9.856643480722038,0.0001,9.917508646259035,10.904370825586085
[2.20305056],0.8261483277621835,9.543313478162297,1e-07,0.213225318186061,0.6038134825326691,1.0,0.021565485641670473,31.30219647245222,0.826148327762354,313.6520398860174,169.364,1670.7740943272509,259,[2.2115417],[-0.00849113],9.864989574686774,0.0001,9.930079225817954,10.905970182415258
[2.19343163],0.7778257062581417,10.358637167286819,1e-07,0.29967549952925826,0.551518116844603,1.0,0.012004548775103527,28.585610016230195,0.7778257062582696,286.99016961163034,176.17,1739.1450550375375,260,[2.20305056],[-0.00961894],9.871970568414245,0.0001,9.935709904523222,10.905398973615815
[2.18308834],0.752142491238061,10.739107213064095,1e-07,0.1690702246792537,0.5395229623920469,1.0,0.00984489916758574,26.475065627869554,0.7521424912383026,266.0918367105434,178.77,1765.1886648502968,261,[2.19343163],[-0.01034329],9.874076550038021,0.0001,9.939098143060916,10.905769604600223
[2.17249834],0.7723730582310537,10.443660393307145,1e-07,0.05142004559020852,0.5543523536758851,1.0,0.00882802115819973,26.666522532943812,0.7723730582318638,268.0920143215369,176.976,1747.363606289296,262,[2.18308834],[-0.01059],9.873449542815385,0.0001,9.938175611806606,10.907686656857532
[2.16531245],0.742647156198089,10.878532355314967,1e-07,0.10595415047192344,0.5000433855031235,1.0,0.005936823557845081,25.96084744379505,0.7426471561985437,261.286321233115,180.88,1787.112181764771,263,[2.17249834],[-0.00718589],9.880098306970206,0.0001,9.941475922778242,10.907640239731574
[2.15534149],0.6809085208192158,11.698451995069057,1e-07,0.7934415224346781,0.5040604482188028,1.0,0.004142602266468462,25.005771813723324,0.6809085208191163,251.7213928203506,181.876,1796.9941310465842,264,[2.16531245],[-0.00997096],9.880325777159076,0.0001,9.947849617051917,10.90887723325248
[2.14600021],0.7311281893392305,11.053049903008214,1e-07,0.35132063182214446,0.5039887274449759,1.0,0.007822902873102212,25.23863419442502,0.73112818933906,254.16511364284773,181.188,1790.3528128358334,265,[2.15534149],[-0.00934128],9.88118867052914,0.0001,9.94422962892079,10.909752121263324
[2.1361167],0.6697669737143457,11.813069366612316,1e-07,1.8302607512090656,0.5143693202712691,1.0,0.005676585201874839,27.152377354478556,0.6697669737131804,273.3045625734241,178.398,1762.7402375554648,266,[2.14600021],[-0.00988351],9.880941700890508,0.0001,9.950461933502215,10.911767097764574
[2.12679313],0.8257804849991714,9.553898517433877,1e-07,0.26902280376103427,0.604518048212732,1.0,0.009679745087836493,29.28851645269866,0.8257804849984467,293.9206274054236,170.798,1686.0372381027169,267,[2.1361167],[-0.00932356],9.871527992732448,0.0001,9.936721002644411,10.911993404701231
[2.11726342],0.7675046252281277,10.525947300480537,1e-07,1.1099180572488454,0.5413375681049575,1.0,0.00818785861714788,28.52364205356672,0.7675046252279856,286.69745448499634,176.438,1743.1509396501547,268,[2.12679313],[-0.00952971],9.879679772215477,0.0001,9.943432681992737,10.911908783004986
[2.10642232],0.7723453077518059,10.448071303425557,1e-07,0.44698864255877896,0.5532425325210054,1.0,0.0058449715996424624,28.15246170408549,0.772345307751749,283.09469977635933,175.33,1732.1236189493286,269,[2.11726342],[-0.0108411],9.879219865107675,0.0001,9.943727383272366,10.913063227110191
[2.09717305],0.7625064822644987,10.576772164910095,1e-07,0.240952366277665,0.5480217422722545,1.0,0.006149927326053432,26.86083066474304,0.7625064822647971,270.19994181857123,177.424,1753.0675241091872,270,[2.10642232],[-0.00924927],9.880667351142954,0.0001,9.945481779212452,10.912634808118176
[2.09022783],0.8125270165403009,9.782457236094386,1e-07,0.7618287972798653,0.5737281339953335,1.0,0.004178011989146977,28.60278832561609,0.8125270165403577,287.34179605832884,174.35,1722.317437462064,271,[2.09717305],[-0.00694522],9.878505520287149,0.0001,9.94123953862384,10.915748595498048
[2.0809451],0.791604919091867,10.143666111287269,1e-07,0.6629669996208443,0.5540847650001384,1.0,0.0025165957240739947,28.816347790794033,0.7916049190917533,289.6101523513867,175.51,1734.2702540406572,272,[2.09022783],[-0.00928273],9.881318751299965,0.0001,9.944085974584745,10.916989670404039
[2.07270144],0.7568594536702875,10.671642731896576,1e-07,0.2952450993919319,0.5461393887493169,1.0,0.004493723952811245,28.038677500909348,0.7568594536710975,281.9295504684061,176.758,1746.9012367929572,273,[2.0809451],[-0.00824366],9.883010878109944,0.0001,9.94817547496506,10.916703950570312
[2.06799689],0.9443903205073028,6.5248471714635725,1e-07,0.3663798303856978,0.6110496665855039,1.0,0.010858000653370059,28.869375053852483,0.9443903205071962,290.05731879284446,169.428,1673.279973393554,274,[2.07270144],[-0.00470455],9.876053387831726,0.0001,9.92707376521806,10.917540687843685
[2.06031513],0.8304773589445915,9.468534176198403,1e-07,0.7193730219024995,0.6162238823173982,1.0,0.0025624638436873193,29.923230507416807,0.8304773589451173,300.30692897754494,169.174,1670.7229736734323,275,[2.06799689],[-0.00768176],9.875766806208,0.0001,9.941798997876848,10.918224110663495
[2.05324348],0.8960729822029805,8.042473669292384,1e-07,0.13402514846686478,0.5912070759252839,1.0,0.003370544654816596,27.852037914666138,0.8960729822028668,279.9388779751171,173.228,1711.4108645477609,276,[2.06031513],[-0.00707166],9.879527931672483,0.0001,9.934855661807527,10.918733390500783
[2.04521688],0.854771602899774,8.99123653891123,1e-07,0.3302718890448019,0.6327014264808056,1.0,0.005621581147947452,30.897482810093123,0.8547716028999162,309.79688657588025,167.334,1652.42208392482,277,[2.05324348],[-0.0080266],9.874993031450991,0.0001,9.94030279463746,10.917969624691285
[2.03883127],0.8465466710983094,9.165037248943097,1e-07,0.18554924049757932,0.6089425689120064,1.0,0.006143406624686754,30.647310094035983,0.8465466710982668,307.5525490394652,169.628,1675.685908319428,278,[2.04521688],[-0.00638561],9.878592616309975,0.0001,9.941858732839332,10.918282116572252
[2.03184552],0.8354052914728243,9.375470958076438,1e-07,0.9848048732157936,0.6002294428366479,1.0,0.0029405317829132825,30.848665708584548,0.8354052914731369,309.70100453613793,169.732,1676.9910795311196,279,[2.03883127],[-0.00698576],9.880229299902906,0.0001,9.943601689409824,10.920184191588334
[2.02648896],0.9256871934734221,7.1964712034360545,1e-07,0.46931180823569507,0.6644076045079353,1.0,0.009243164238096447,33.93567297107868,0.9256871934738484,339.707837476673,161.49,1594.3150378455257,280,[2.03184552],[-0.00535656],9.872531041213238,0.0001,9.933116761440878,10.921094931574775
[2.02064753],0.8846836475529471,8.330949432553751,1e-07,0.2241501085130045,0.6364987806369417,1.0,0.01649096409231486,33.31367833188044,0.8846836475527766,333.75035911317946,165.406,1633.6585093567414,281,[2.02648896],[-0.00584143],9.876658097993671,0.0001,9.938953634694021,10.921536645298879
[2.01415734],0.8257798673841705,9.548908519259715,1e-07,0.2524883702634164,0.5976975601595856,1.0,0.0023057848683241677,32.371733039798784,0.8257798673838863,324.6742813224149,170.13,1681.2202066054317,282,[2.02064753],[-0.00649019],9.881973823578623,0.0001,9.945998521192013,10.92123553687456
[2.00803001],0.8560100521786893,8.96604647789688,1e-07,0.23898032407971734,0.6384321898935649,1.0,0.005011818191956433,32.790617926474035,0.8560100521789735,328.54474774914155,165.876,1638.4220632133113,283,[2.01415734],[-0.00612732],9.877390720859626,0.0001,9.943251888421042,10.922880334248235
[2.00113948],0.9075102697229767,7.742804668083969,1e-07,0.23173221770377542,0.6153174895997582,1.0,0.0050547249378461966,31.366401387471907,0.9075102697229482,314.69347178512,168.808,1667.9696089987017,284,[2.00803001],[-0.00689054],9.880868258605645,0.0001,9.937578562915013,10.920506006435774
[1.99467358],0.8931761169476573,8.116525479233317,1e-07,0.025461737504776562,0.6034667816028794,1.0,0.010074872660259235,31.461358902628476,0.8931761169476289,315.67732806209534,170.164,1681.7072439240721,285,[2.00113948],[-0.0064659],9.882861497873064,0.0001,9.939999757405328,10.922373588772523
[1.98862894],0.9027415650283928,7.875755337113532,1e-07,0.08098816321041515,0.6054430859274563,1.0,0.0020828497370106286,31.969218883169482,0.9027415650285349,320.649098582913,170.138,1681.495823655465,286,[1.99467358],[-0.00604464],9.883129128445526,0.0001,9.939313437091101,10.923341982719224
[1.98182996],0.85712026391748,8.937099635818768,1e-07,1.0237025167455533,0.5808167786419841,1.0,0.002635277320188342,29.725638765214114,0.8571202639178495,298.44932194141757,174.48,1725.017620484739,287,[1.98862894],[-0.00679898],9.886620933543895,0.0001,9.945214593747549,10.92294745783767
[1.9728184],0.7855523837336875,10.229673469413859,1e-07,0.6258784795649912,0.5357673839945777,1.0,0.003548394642516547,28.942852036383695,0.7855523837330338,291.1108464462957,177.146,1752.3661969543086,288,[1.98182996],[-0.00901156],9.8922143144881,0.0001,9.953392342474732,10.92440530747158
[1.96536231],0.8051111013601968,9.91617980013592,1e-07,0.3121079015707933,0.5778524760764634,1.0,0.007631632005139409,27.636898451164885,0.8051111013600405,278.078028996068,174.562,1726.1075950731495,289,[1.9728184],[-0.00745609],9.888220775845543,0.0001,9.952040078631722,10.924367188202408
