DeltaOmega,RewardMean,TimestepsMean,NormDeltaVar,ITERATIONS,ConfortViolation,ReturnsStd,ReturnsMean,OmegaBefore,NormDeltaOmega,RewardStd,Traj,Wins,Omega,TimestepsStd
-0.12327992574248636,9.1162931825616,199.564,0.15676093041198885,35,0,87.54489829945192,1819.2839326847231,4.132604108797995,0.12327992574248636,0.13072222892311977,250,96.8,4.009324183055509,9.30150009407085
-0.12045968103568594,9.167086791067243,200.588,0.1399883477730553,36,0,42.2949572005692,1838.8076052465958,4.009324183055509,0.12045968103568594,0.09269510459798556,250,98.8,3.888864502019823,4.4102444376700936
-0.11917481260807516,9.215376440241887,199.508,0.12832708112480548,37,0,73.5988414639977,1838.5413228397779,3.888864502019823,0.11917481260807516,0.17867837546242088,250,93.2,3.7696896894117478,7.681792499150183
-0.11661142621733678,9.258211397169552,198.392,0.11371450379163518,38,0,100.58413070356363,1836.7550755072618,3.7696896894117478,0.11661142621733678,0.20245081966647413,250,91.2,3.653078263194411,10.519616723056025
-0.1142917748938701,9.302337156816188,197.608,0.11130842832994642,39,0,126.94019810865154,1838.2162408841334,3.653078263194411,0.1142917748938701,0.21971273542012315,250,89.60000000000001,3.538786488300541,13.315191925015576
-0.11266824071921455,9.343096479472077,197.676,0.11018064724291275,40,0,121.01061313057508,1846.9059396761227,3.538786488300541,0.11266824071921455,0.23603314430389252,250,88.0,3.4261182475813263,12.587733076292968
-0.1106325421232377,9.383131864275471,198.3,0.11896734309061527,41,0,99.91542540589278,1860.6750486858261,3.4261182475813263,0.1106325421232377,0.22096228191790016,250,89.60000000000001,3.3154857054580886,10.347656739571525
-0.10831135057401298,9.423029803606015,199.388,0.13710831392024542,42,0,95.02384281097675,1878.8390664813967,3.3154857054580886,0.10831135057401298,0.16087689861319213,250,94.8,3.2071743548840757,9.802318909319368
-0.1071556173989614,9.459932639826082,200.476,0.12330917089918852,43,0,40.07165858085644,1896.4894559017737,3.2071743548840757,0.1071556173989614,0.1150134775404164,250,97.6,3.1000187374851143,3.9163023376649555
-0.10483487185409945,9.492323892060856,199.852,0.09969971313047422,44,0,76.85561602302782,1897.0599144761466,3.1000187374851143,0.10483487185409945,0.13765025428886435,250,96.39999999999999,2.995183865631015,7.788073959587182
