Omega,ConfortViolation,DualAfter,Eta,DualBefore,NormDeltaVar,WeightMedian,ReturnsMean,ReturnsStd,DeltaOmega,RewardMean,Epsilon,Wins,Primal,Traj,ITERATIONS,WeightMean,NormDeltaOmega,DualReg,RewardStd,TimestepsStd,LossReg,TimestepsMean,OmegaBefore,WeightMax,WeightMin
[[0.99999999]],0,8.001242984875812,0.005220073954997865,8.243365655449873,0.0,0.0,1504.2626262626263,79.29418258032894,[[0.]],3.00732,1.6201,0.0,8.000000000000597,100,10,0.0,0.0,0.0,3.003748727440429,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001240399920965,0.0052232008959502115,8.242731416610262,0.0,0.0,1502.4444444444443,71.45447405918817,[[0.]],3.00596,1.6201,0.0,7.999999999999765,100,11,0.0,0.0,0.0,3.003378843635947,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.00125293995611,0.00520794037265775,8.245814159548175,0.0,0.0,1505.2929292929293,76.27876208988121,[[0.]],3.01132,1.6201,0.0,7.999999999999653,100,12,0.0,0.0,0.0,3.0060259243060425,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001182939882534,0.005296322488039009,8.228719358970377,0.0,0.0,1493.3131313131314,78.73810911857495,[[0.]],2.98624,1.6201,0.0,8.000000000000085,100,13,0.0,0.0,0.0,2.9883190362476357,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.00123238984769,0.005233428376793234,8.240762361238533,0.0,0.0,1502.5252525252524,74.16421084587078,[[0.]],3.00536,1.6201,0.0,7.99999999999958,100,14,0.0,0.0,0.0,2.999781870469918,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.00122655590806,0.005240670430076753,8.239334017842907,0.0,0.0,1500.7474747474748,73.44596631790323,[[0.]],3.003,1.6201,0.0,7.999999999999947,100,15,0.0,0.0,0.0,2.998478113977156,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001199660092684,0.005274029047194668,8.232783633178299,0.0,0.0,1493.8181818181818,71.25375958698652,[[0.]],2.98816,1.6201,0.0,8.00000000000057,100,16,0.0,0.0,0.0,2.9952261708258354,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001239433345077,0.005224391866176898,8.24249411072434,0.0,0.0,1501.5959595959596,85.59192815618373,[[0.]],3.0056,1.6201,0.0,7.999999999999514,100,17,0.0,0.0,0.0,3.003139796945857,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001215739562232,0.005253781728309514,8.236696941755675,0.0,0.0,1498.6666666666667,72.4503312970376,[[0.]],2.9956,1.6201,0.0,8.000000000000153,100,18,0.0,0.0,0.0,2.998129523552977,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
[[0.99999999]],0,8.001247836366534,0.005214299320921209,8.244556187374611,0.0,0.0,1505.2323232323233,80.45411871268564,[[0.]],3.01044,1.6201,0.0,8.000000000000542,100,19,0.0,0.0,0.0,3.004059088366938,0.0,0.0,500.0,[[0.99999999]],1.0,0.0
