Epsilon,RewardMean,ITERATIONS,D_KL_PQ_2,TimestepsStd,DeltaOmega,DualAfter,Omega,DualBefore,ReturnsMean,Eta,DualReg,ReturnsStd,TimestepsMean,D_KL_PQ,LossReg,D_KL_P_HAT_Q,OmegaBefore,RewardStd
1.0,9.77660705896609,375,0.6252525834361435,27.706185302202826,-0.00881037,9.907893919604657,3.08388303,10.838339985616567,1706.3698896437054,5.72470631568361,0.001,275.80246356754515,174.536,0.6252525834360227,1e-07,0.005718265866398162,3.09269341,0.5587699372651876
1.0,9.785188842036469,376,0.5277674204960476,24.617480293482515,-0.00691787,9.92512079940382,3.07696517,10.833474447373897,1789.6327576977337,6.183694825695097,0.001,245.4471985235551,182.892,0.5277674204960618,1e-07,0.004214460522633692,3.08388303,0.4882896072381743
1.0,9.785753056845975,377,0.5458345756864631,25.994343615486812,-0.00810065,9.923120823689946,3.06886451,10.835247461374344,1772.1020210642373,6.101214404205086,0.001,259.12368504838724,181.09,0.545834575686456,1e-07,0.002883747759025944,3.07696517,0.4918282279056547
1.0,9.785820281803819,378,0.5480343801957588,25.6895679216292,-0.00690531,9.923628862392457,3.06195921,10.835337462249864,1770.157030775493,6.092385730750657,0.001,256.12914325765763,180.89,0.5480343801953467,1e-07,0.004530816431618113,3.06886451,0.5006774829388826
1.0,9.787044191764787,379,0.5631628443864471,25.119909155886695,-0.00804269,9.922075149266828,3.05391652,10.836531568333175,1777.7382810805393,6.023912873321359,0.001,250.5214207370191,181.642,0.5631628443865253,1e-07,0.0033012257176992543,3.06195921,0.497574707296135
1.0,9.793393906386019,380,0.48150074732992465,22.759198140532106,-0.00816871,9.936205290628914,3.04574782,10.832885000102907,1827.7411047488222,6.376619667989523,0.001,227.22057675590003,186.63,0.4815007473300028,1e-07,0.004343029586746699,3.05391652,0.44136254442701944
1.0,9.791465152022115,381,0.5187022709230789,25.39810260629719,-0.00745248,9.931294256377656,3.03829533,10.836080747861653,1790.584815280588,6.220664748118994,0.001,253.32113253177303,182.872,0.5187022709230433,1e-07,0.004106325432699966,3.04574782,0.47217889758388987
1.0,9.795166897596284,382,0.5134113313405706,23.368091406873603,-0.00638164,9.932922199831886,3.03191369,10.835456030734413,1816.5332914930261,6.243544542868841,0.001,233.43718364388883,185.452,0.5134113313410609,1e-07,0.002119868378065723,3.03829533,0.44166749445612036
1.0,9.795153889469244,383,0.5337062731601634,23.340392027556003,-0.00792916,9.930546299552894,3.02398453,10.837407440046757,1813.9645487908094,6.156215803888409,0.001,233.16486953406672,185.19,0.5337062731599644,1e-07,0.0020657297426576503,3.03191369,0.4512965380053091
1.0,9.795587386837061,384,0.48715980985653573,23.660398221500834,-0.00853989,9.939002770092952,3.01544464,10.83707782709331,1813.8097340710713,6.355011129191674,0.001,236.21910922251092,185.166,0.4871598098564647,1e-07,0.0033838364252320855,3.02398453,0.4570738967506644
1.0,9.79462517822567,385,0.5386689246193725,24.60092551104531,-0.00851594,9.93180083945803,3.0069287,10.840059212533607,1788.4202005425818,6.135153314123913,0.001,245.70372784744987,182.592,0.5386689246190315,1e-07,0.004192408424391186,3.01544464,0.4782403313386266
1.0,9.799582785784548,386,0.5139037275631182,23.416824379065577,-0.00687368,9.93666611122308,3.00005502,10.839226098371219,1821.1936632413433,6.240605938231676,0.001,233.96592154773293,185.844,0.5139037275631182,1e-07,0.004416309841745836,3.0069287,0.436669540155117
1.0,9.799216896619198,387,0.5211374069751216,22.43817915963771,-0.00796374,9.936379967576196,2.99209128,10.839921790702991,1823.1051067484154,6.211885867740205,0.001,224.34024622997546,186.046,0.521137406975015,1e-07,0.002498904982895366,3.00005502,0.4492873049149638
1.0,9.79999504929789,388,0.5458746303903723,22.92933352716559,-0.00741745,9.933360013677882,2.98467383,10.841921951301364,1816.8406821794347,6.1018697065690795,0.001,229.2507277561133,185.392,0.5458746303901592,1e-07,0.003719649331916093,2.99209128,0.45126831784019633
1.0,9.799189952538681,389,0.571799353776214,24.441511819034435,-0.0065701,9.92982475778298,2.97810373,10.843554354939263,1798.641315788475,5.984041892926526,0.001,244.12722762216458,183.55,0.5717993537765409,1e-07,0.0033095387172562825,2.98467383,0.46943430852901774
1.0,9.795546108266047,390,0.5916718256100282,24.680344487060953,-0.00708559,9.927297757285002,2.97101814,10.846662889051991,1771.171874020017,5.890000278694557,0.001,246.48907821598942,180.814,0.5916718256101703,1e-07,0.0038646367585797553,2.97810373,0.5128455021796262
1.0,9.79922084755226,391,0.6533738574802328,24.099727716304184,-0.00724397,9.917374568679724,2.96377417,10.846632284408471,1786.5743464840334,5.577090458027071,0.001,240.97053368752552,182.318,0.6533738574801831,1e-07,0.00269851870065886,2.97101814,0.4854079361075587
1.0,9.79825931312382,392,0.659478374923431,25.48618166771947,-0.00639555,9.917088612803253,2.95737862,10.84831106466235,1767.4884009757795,5.5431451135870375,0.001,254.5754140804184,180.388,0.6594783749235873,1e-07,0.003616657925307526,2.96377417,0.5030685528386967
1.0,9.798408608911297,393,0.6009504851770089,25.43771027431518,-0.0064577,9.928108563121128,2.95092092,10.849698054373272,1765.3204886158949,5.844774111275832,0.001,254.08465295792453,180.164,0.6009504851772576,1e-07,0.0031540141150295,2.95737862,0.5097327413385505
1.0,9.80013374819255,394,0.6357788732836624,25.00384578419888,-0.00610641,9.922758641615628,2.94481451,10.850040138979104,1776.137039987425,5.670630953962328,0.001,249.80125130041293,181.236,0.6357788732837903,1e-07,0.0028529778938024847,2.95092092,0.49985607665452464
1.0,9.798164708414468,395,0.6156089994323963,26.25150746147733,-0.00795662,9.92724590795905,2.93685789,10.853009732355039,1748.325721581227,5.772959008887377,0.001,262.0884609130088,178.434,0.6156089994328156,1e-07,0.0023131473590835023,2.94481451,0.5257435107755393
