ConfortViolation,RewardStd,TimestepsMean,ITERATIONS,DeltaOmega,ReturnsStd,Traj,WeightMedian,DualReg,LossReg,DualAfter,Eta,NormDeltaVar,WeightMin,Omega,Wins,WeightMean,NormDeltaOmega,Epsilon,RewardMean,DualBefore,Primal,OmegaBefore,ReturnsMean,WeightMax,TimestepsStd
0,0.4467661580737735,500.0,10,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,11,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,12,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,13,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,14,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,15,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,16,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,17,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,18,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
0,0.4467661580737735,500.0,19,[[0.]],0.0,100,1.0,0.0,0.0,10.00183024114216,0.0031659703901680903,0.0,0.0,[[2.3625319e-09]],0.0,0.0,0.0,0.5801,9.98,10.578098088311146,9.999999999997792,[[2.3625319e-09]],4990.0,1.0,0.0
