ITERATIONS,Theta,Traj,Wins,NormDeltaVar,Omega,TimestepsMean,ConfortViolation,TimestepsStd,RewardStd,DeltaOmega,RewardMean,NormDeltaOmega,ReturnsStd,ReturnsMean,OmegaBefore
37,0.21538488229775254,20,0.0,0.2952846034435197,0.9500035842051548,500.0,0,0.0,2.5313324554471306,0.0010640660700994564,2.466,0.0010640660700994564,61.450793322787945,1233.0,0.9489395181350554
38,0.2121395388626535,20,0.0,0.27585729116248814,0.9514880435054587,500.0,0,0.0,2.4891988671056393,0.0014844593003038309,2.433,0.0014844593003038309,66.19327760430058,1216.5,0.9500035842051548
39,0.20860314663322352,20,0.0,0.3041313122453637,0.9524600472985356,500.0,0,0.0,2.5126209423627754,0.0009720037930769365,2.444,0.0009720037930769365,70.9845053515202,1222.0,0.9514880435054587
40,0.20406243615435218,20,0.0,0.3961258980732154,0.9533439086739367,500.0,0,0.0,2.4949779237500276,0.0008838613754010849,2.4246,0.0008838613754010849,75.7793507493961,1212.3,0.9524600472985356
41,0.19818560230913743,20,0.0,0.5225491563542697,0.9540699800233157,500.0,0,0.0,2.47415950172983,0.000726071349378965,2.3926,0.000726071349378965,57.80406560095925,1196.3,0.9533439086739367
42,0.19170111390758304,20,0.0,0.5903036885834965,0.9543635864393982,500.0,0,0.0,2.521556217894021,0.0002936064160825591,2.4632,0.0002936064160825591,60.25811148716826,1231.6,0.9540699800233157
43,0.18765596607270482,20,0.0,0.37598829861354943,0.9552323697759566,500.0,0,0.0,2.578655742824156,0.0008687833365583764,2.5116,0.0008687833365583764,76.80338534205377,1255.8,0.9543635864393982
44,0.1827218417744737,20,0.0,0.4671553548585372,0.9554261886894171,500.0,0,0.0,2.560693335797944,0.00019381891346048619,2.4842,0.00019381891346048619,49.58013715188775,1242.1,0.9552323697759566
45,0.17847847674652395,20,0.0,0.40965182713756576,0.9550940201737539,500.0,0,0.0,2.5746033403225432,-0.0003321685156632004,2.5042,0.0003321685156632004,61.8368013403022,1252.1,0.9554261886894171
46,0.17285903326336172,20,0.0,0.5544084107874099,0.9547146271499086,500.0,0,0.0,2.5865799813653547,-0.00037939302384526474,2.498,0.00037939302384526474,64.06403046952322,1249.0,0.9550940201737539
47,0.1683966060016886,20,0.0,0.45049971011162526,0.9549539445010385,500.0,0,0.0,2.5773629934489244,0.0002393173511299196,2.5,0.0002393173511299196,63.141111805225606,1250.0,0.9547146271499086
48,0.16261548657452612,20,0.0,0.5980176252531884,0.9547401820622126,500.0,0,0.0,2.6511113971313995,-0.00021376243882598178,2.5906,0.00021376243882598178,80.51900396800745,1295.3,0.9549539445010385
49,0.15755513884130673,20,0.0,0.53768292426982,0.9542880741963359,500.0,0,0.0,2.5720788790392883,-0.00045210786587668306,2.4968,0.00045210786587668306,68.15746474158205,1248.4,0.9547401820622126
50,0.15280502767596663,20,0.0,0.5176478781414282,0.9541132313628465,500.0,0,0.0,2.6210211063629383,-0.0001748428334893415,2.5406,0.0001748428334893415,71.06694027464529,1270.3,0.9542880741963359
51,0.14827348964258222,20,0.0,0.5062703800727633,0.9540788603837694,500.0,0,0.0,2.576900432690406,-3.437097907710296e-05,2.4804,3.437097907710296e-05,66.9922383563947,1240.2,0.9541132313628465
52,0.14403258942225802,20,0.0,0.4855101096544878,0.9538813809570258,500.0,0,0.0,2.560611926864358,-0.00019747942674364083,2.4784,0.00019747942674364083,65.0335298134739,1239.2,0.9540788603837694
53,0.13948725571446183,20,0.0,0.5337495915178039,0.9534950651623456,500.0,0,0.0,2.6125794074056388,-0.00038631579468018096,2.5378,0.00038631579468018096,62.57627345887577,1268.9,0.9538813809570258
54,0.13522043609904494,20,0.0,0.514473465766379,0.9530001534666501,500.0,0,0.0,2.6499337652099912,-0.000494911695695488,2.5652,0.000494911695695488,43.19305499730252,1282.6,0.9534950651623456
55,0.13196917293563115,20,0.0,0.40129348380247976,0.9532277132442986,500.0,0,0.0,2.6727652796308172,0.00022755977764843394,2.5976,0.00022755977764843394,81.48963124226296,1298.8,0.9530001534666501
56,0.12813500371197525,20,0.0,0.48416134886307205,0.9529137045764232,500.0,0,0.0,2.649413036881943,-0.00031400866787534287,2.5584,0.00031400866787534287,62.93298022499809,1279.2,0.9532277132442986
57,0.12463999714320896,20,0.0,0.4522215403050076,0.9532576236600417,500.0,0,0.0,2.672520158951098,0.00034391908361852686,2.594,0.00034391908361852686,79.20227269466452,1297.0,0.9529137045764232
58,0.12084209046249361,20,0.0,0.5039171168621266,0.9527843714234996,500.0,0,0.0,2.647630064793796,-0.0004732522365421543,2.5752,0.0004732522365421543,80.52726246433565,1287.6,0.9532576236600417
59,0.11692905794205966,20,0.0,0.533689405407646,0.9514969487787374,500.0,0,0.0,2.6585633338327677,-0.0012874226447622261,2.571,0.0012874226447622261,53.78057270055796,1285.5,0.9527843714234996
60,0.11382130919049695,20,0.0,0.4350103795106506,0.9500889226943903,500.0,0,0.0,2.6923058072960435,-0.0014080260843470915,2.6212,0.0014080260843470915,72.91666476190474,1310.6,0.9514969487787374
61,0.11073059622610835,20,0.0,0.44301690386643244,0.9482498453509628,500.0,0,0.0,2.6614834885830123,-0.0018390773434274754,2.5742,0.0018390773434274754,65.14744814649305,1287.1,0.9500889226943903
62,0.10865443004780229,20,0.0,0.3037096733484681,0.9471290777853518,500.0,0,0.0,2.7228213308992566,-0.0011207675656109695,2.662,0.0011207675656109695,65.89233642844971,1331.0,0.9482498453509628
63,0.1064815638036554,20,0.0,0.32336271177430476,0.9467223832079145,500.0,0,0.0,2.7220123070992903,-0.0004066945774373609,2.643,0.0004066945774373609,87.06750254831019,1321.5,0.9471290777853518
64,0.10430789742058673,20,0.0,0.3293504745056097,0.9465031543533962,500.0,0,0.0,2.6762236005236932,-0.0002192288545183052,2.5918,0.0002192288545183052,75.42539360188981,1295.9,0.9467223832079145
65,0.10236366253071635,20,0.0,0.2997654913314314,0.9463198921939245,500.0,0,0.0,2.7477692770682185,-0.00018326215947161995,2.658,0.00018326215947161995,67.9396791278852,1329.0,0.9465031543533962
66,0.10037204238942973,20,0.0,0.31234808376829903,0.9466682272697811,500.0,0,0.0,2.712463079933071,0.0003483350758565207,2.6398,0.0003483350758565207,74.26836473223307,1319.9,0.9463198921939245
67,0.09972555892300695,20,0.0,0.1025722535627267,0.9482853473098843,500.0,0,0.0,2.679818978961079,0.0016171200401032815,2.5968,0.0016171200401032815,72.65975502298367,1298.4,0.9466682272697811
68,0.09871248975924275,20,0.0,0.16193111342020572,0.9498784555157003,500.0,0,0.0,2.6889395679337977,0.0015931082058159296,2.602,0.0015931082058159296,56.77147170894903,1301.0,0.9482853473098843
69,0.09762111631841748,20,0.0,0.17611182376299794,0.9513839801988936,500.0,0,0.0,2.700324417546899,0.0015055246831933156,2.6202,0.0015055246831933156,80.79969059346699,1310.1,0.9498784555157003
70,0.09663803599441802,20,0.0,0.16014647920730596,0.9529326674965114,500.0,0,0.0,2.7056352377953683,0.0015486872976178123,2.6286,0.0015486872976178123,66.44478911096039,1314.3,0.9513839801988936
71,0.09539530495446542,20,0.0,0.20453965986498446,0.9546523965768398,500.0,0,0.0,2.7155162971339353,0.0017197290803283583,2.6318,0.0017197290803283583,63.98585781248853,1315.9,0.9529326674965114
72,0.09511635556855835,20,0.0,0.0462391977948613,0.957071991564814,500.0,0,0.0,2.7281282961033924,0.002419594987974283,2.646,0.002419594987974283,64.60804903415672,1323.0,0.9546523965768398
73,0.09456314382876863,20,0.0,0.09206161529939294,0.9592836637924023,500.0,0,0.0,2.7553689843648885,0.002211672227588224,2.6776,0.002211672227588224,75.9431366220806,1338.8,0.957071991564814
74,0.09406434463536716,20,0.0,0.08342108932300363,0.9615355132708161,500.0,0,0.0,2.7113160199430832,0.0022518494784138365,2.6112,0.0022518494784138365,49.37853784793552,1305.6,0.9592836637924023
75,0.09379630470846707,20,0.0,0.044991896414693144,0.9638647582763209,500.0,0,0.0,2.746762923879671,0.0023292450055047986,2.6688,0.0023292450055047986,83.33930645259775,1334.4,0.9615355132708161
76,0.09322626242811234,20,0.0,0.09606912348825603,0.966040055357979,500.0,0,0.0,2.7382502734410523,0.0021752970816580897,2.6612,0.0021752970816580897,75.90546752375616,1330.6,0.9638647582763209
77,0.09205756351953273,20,0.0,0.1986202853721224,0.9675344729116173,500.0,0,0.0,2.7536912753611285,0.0014944175536383275,2.6794,0.0014944175536383275,55.6678542787487,1339.7,0.966040055357979
78,0.09082299291992194,20,0.0,0.21229163015922836,0.9692072490964783,500.0,0,0.0,2.749359016207232,0.0016727761848609468,2.665,0.0016727761848609468,81.41959223675835,1332.5,0.9675344729116173
79,0.09014430244686351,20,0.0,0.11781347197646852,0.9710282837720071,500.0,0,0.0,2.7317093549643965,0.0018210346755288542,2.658,0.0018210346755288542,77.08566663135242,1329.0,0.9692072490964783
80,0.08892433493487775,20,0.0,0.21379780174013518,0.97230646211225,500.0,0,0.0,2.7724611160483383,0.001278178340242908,2.6956,0.001278178340242908,88.73308289471295,1347.8,0.9710282837720071
81,0.08740613266977289,20,0.0,0.2697912618096723,0.9734205515216378,500.0,0,0.0,2.736325821242785,0.0011140894093877307,2.661,0.0011140894093877307,66.21744483140375,1330.5,0.97230646211225
82,0.08555790221233625,20,0.0,0.33421834432981967,0.974446270476104,500.0,0,0.0,2.772615912815909,0.001025718954466237,2.701,0.001025718954466237,74.61869738879123,1350.5,0.9734205515216378
83,0.08416592935691597,20,0.0,0.25606026080016875,0.9754131242744525,500.0,0,0.0,2.7892615797016957,0.0009668537983484882,2.7272,0.0009668537983484882,59.43938088506642,1363.6,0.974446270476104
84,0.08284393866447613,20,0.0,0.24677229991351624,0.9761008876819635,500.0,0,0.0,2.8204159693208375,0.0006877634075109773,2.7624,0.0006877634075109773,76.83072302145803,1381.2,0.9754131242744525
85,0.08142004106073598,20,0.0,0.269834907569539,0.9766664691662852,500.0,0,0.0,2.8183048522116976,0.000565581484321731,2.7576,0.000565581484321731,67.96293107275466,1378.8,0.9761008876819635
86,0.08018029668653415,20,0.0,0.23846230578269,0.9772135783101707,500.0,0,0.0,2.83025730985718,0.0005471091438855602,2.7566,0.0005471091438855602,90.60082781078769,1378.3,0.9766664691662852
87,0.07898326618547498,20,0.0,0.23346181374918018,0.9776729126991358,500.0,0,0.0,2.8179419369461822,0.0004593343889650603,2.7518,0.0004593343889650603,70.30355609782481,1375.9,0.9772135783101707
88,0.07738835964446235,20,0.0,0.31614021679571636,0.9781777738060173,500.0,0,0.0,2.8001741017301054,0.0005048611068815267,2.735,0.0005048611068815267,67.1114744287443,1367.5,0.9776729126991358
89,0.07623254796590924,20,0.0,0.23285490957845667,0.9787217805409263,500.0,0,0.0,2.8346585261720674,0.0005440067349089528,2.7848,0.0005440067349089528,67.83981132049233,1392.4,0.9781777738060173
90,0.0753873088074557,20,0.0,0.17234486338736588,0.9791540094614269,500.0,0,0.0,2.80733428006,0.00043222892050065465,2.7368,0.00043222892050065465,76.33505092681868,1368.4,0.9787217805409263
91,0.07468090640208676,20,0.0,0.14540276243617,0.9793373366036171,500.0,0,0.0,2.8339983839092078,0.00018332714219015944,2.7854,0.00018332714219015944,63.372785957380785,1392.7,0.9791540094614269
92,0.07424295221610228,20,0.0,0.09078272796713094,0.9794463870992732,500.0,0,0.0,2.7876088606545935,0.00010905049565612668,2.7178,0.00010905049565612668,87.2180600563897,1358.9,0.9793373366036171
93,0.07394524830447174,20,0.0,0.06199213051285568,0.9796035866954346,500.0,0,0.0,2.831118782389746,0.00015719959616133927,2.7738,0.00015719959616133927,68.91872024348682,1386.9,0.9794463870992732
94,0.07390208889320007,20,0.0,0.009006316134772874,0.9796660324295731,500.0,0,0.0,2.813612510634682,6.24457341384943e-05,2.7592,6.24457341384943e-05,69.63504864649697,1379.6,0.9796035866954346
95,0.07433164638718771,20,0.0,0.0894233956649586,0.9794964151772665,500.0,0,0.0,2.8408336804536796,-0.00016961725230657532,2.792,0.00016961725230657532,61.29600313234134,1396.0,0.9796660324295731
96,0.07454473058641337,20,0.0,0.04418270063806773,0.9796708104830585,500.0,0,0.0,2.785447640864929,0.0001743953057919967,2.7012,0.0001743953057919967,76.41492000911863,1350.6,0.9794964151772665
97,0.07483715408669771,20,0.0,0.06044494582743454,0.9798071954795605,500.0,0,0.0,2.8245662605079738,0.00013638499650203695,2.7612,0.00013638499650203695,78.9001901138394,1380.6,0.9796708104830585
98,0.07492721884332887,20,0.0,0.018572968747292862,0.980107826407678,500.0,0,0.0,2.8163806489890533,0.0003006309281174957,2.7502,0.0003006309281174957,88.57194815515801,1375.1,0.9798071954795605
99,0.07461721704945896,20,0.0,0.06401441995864587,0.9804621445393592,500.0,0,0.0,2.8459499292854753,0.0003543181316811861,2.787,0.0003543181316811861,75.17413118886044,1393.5,0.980107826407678
100,0.07373439248843927,20,0.0,0.18364974207566576,0.980862808728988,500.0,0,0.0,2.835337856411472,0.0004006641896288077,2.7882,0.0004006641896288077,80.50956464917694,1394.1,0.9804621445393592
101,0.0731824949552409,20,0.0,0.11583923500475635,0.981086142322148,500.0,0,0.0,2.826982674159854,0.00022333359315995782,2.7664,0.00022333359315995782,64.38136376312636,1383.2,0.980862808728988
102,0.07249423686812378,20,0.0,0.14559304670629558,0.9813713527498886,500.0,0,0.0,2.8115440882191405,0.0002852104277406564,2.7272,0.0002852104277406564,55.62229768716858,1363.6,0.981086142322148
103,0.07183389577888347,20,0.0,0.14089024026440455,0.9817657298302918,500.0,0,0.0,2.7946933642172627,0.0003943770804031299,2.717,0.0003943770804031299,70.47233499750097,1358.5,0.9813713527498886
104,0.07124899966086631,20,0.0,0.12579480338054339,0.9822862254252762,500.0,0,0.0,2.797252938152,0.0005204955949844603,2.724,0.0005204955949844603,54.589376255824725,1362.0,0.9817657298302918
105,0.07054982851442959,20,0.0,0.15162937635947316,0.9826530243861538,500.0,0,0.0,2.8212903076429408,0.0003667989608775457,2.761,0.0003667989608775457,65.99962121103424,1380.5,0.9822862254252762
106,0.06999463300074787,20,0.0,0.12139770215014778,0.9826315252777599,500.0,0,0.0,2.8074446103173614,-2.1499108393885358e-05,2.7426,2.1499108393885358e-05,67.95373426089253,1371.3,0.9826530243861538
107,0.0693460254952349,20,0.0,0.1429559099809694,0.9826555708058443,500.0,0,0.0,2.8257897374008563,2.4045528084437606e-05,2.7606,2.4045528084437606e-05,54.45833269574088,1380.3,0.9826315252777599
108,0.06843954042261867,20,0.0,0.20188080688798493,0.982878342390828,500.0,0,0.0,2.8246570836120974,0.0002227715849837386,2.7606,0.0002227715849837386,78.67471004077487,1380.3,0.9826555708058443
109,0.0672731121992003,20,0.0,0.2634491198182616,0.9829635473539455,500.0,0,0.0,2.8550706541169872,8.520496311748005e-05,2.7966,8.520496311748005e-05,50.72386026319369,1398.3,0.982878342390828
110,0.06669325526637325,20,0.0,0.13254705665706723,0.9831143700335767,500.0,0,0.0,2.8292951419037218,0.00015082267963117957,2.783,0.00015082267963117957,90.2726425889926,1391.5,0.9829635473539455
111,0.06646985583794246,20,0.0,0.05135161212442085,0.9832105257695277,500.0,0,0.0,2.810567942605195,9.615573595100901e-05,2.7472,9.615573595100901e-05,49.3947365617026,1373.6,0.9831143700335767
112,0.0660062493440498,20,0.0,0.10708025566657398,0.9834328502001276,500.0,0,0.0,2.8737283866085876,0.00022232443059988505,2.8254,0.00022232443059988505,103.02286154053381,1412.7,0.9832105257695277
113,0.06540501685060023,20,0.0,0.13991391257119545,0.9837846705964441,500.0,0,0.0,2.892066693560161,0.00035182039631653783,2.8532,0.00035182039631653783,69.38904812720807,1426.6,0.9834328502001276
114,0.06468922494947889,20,0.0,0.1681415463023157,0.9840741907064428,500.0,0,0.0,2.8139998507462645,0.0002895201099986089,2.7522,0.0002895201099986089,71.07031729210163,1376.1,0.9837846705964441
115,0.06338943104477773,20,0.0,0.30980330688448277,0.9843887231253508,500.0,0,0.0,2.8592971933676288,0.0003145324189079979,2.8134,0.0003145324189079979,69.59101953556939,1406.7,0.9840741907064428
116,0.062235185531467715,20,0.0,0.2801175263447391,0.9845612789323014,500.0,0,0.0,2.831648989546551,0.0001725558069506361,2.758,0.0001725558069506361,71.72307857307855,1379.0,0.9843887231253508
117,0.061636354108178124,20,0.0,0.14724331967476445,0.9848972343148958,500.0,0,0.0,2.865893898943225,0.000335955382594455,2.8096,0.000335955382594455,85.03505159638583,1404.8,0.9845612789323014
118,0.06076238641484397,20,0.0,0.217312117981308,0.9850706679238195,500.0,0,0.0,2.8338976692887123,0.00017343360892363435,2.768,0.00017343360892363435,55.695601262577284,1384.0,0.9848972343148958
119,0.05997333512511146,20,0.0,0.19872355889420135,0.985172300704022,500.0,0,0.0,2.871734360974218,0.00010163278020247635,2.8224,0.00010163278020247635,52.14748316074324,1411.2,0.9850706679238195
120,0.05917336279534745,20,0.0,0.20398870512278222,0.9851799960936719,500.0,0,0.0,2.8574186882569377,7.6953896499532e-06,2.8062,7.6953896499532e-06,55.98026437951146,1403.1,0.985172300704022
121,0.058188842248019707,20,0.0,0.2546251478039636,0.9852528068294613,500.0,0,0.0,2.858040475570631,7.28107357893526e-05,2.8092,7.28107357893526e-05,75.39787795422362,1404.6,0.9851799960936719
122,0.057253837526871514,20,0.0,0.24558902489802392,0.9852740199579141,500.0,0,0.0,2.8304626830255155,2.121312845282386e-05,2.759,2.121312845282386e-05,57.21844108327314,1379.5,0.9852528068294613
