RewardMean,Omega,RewardStd,Traj,ConfortViolation,OmegaBefore,ITERATIONS,TimestepsMean,TimestepsStd,Wins,NormDeltaOmega,ReturnsMean,ReturnsStd,NormDeltaVar,DeltaOmega,Theta
2.5888,0.961118644601394,2.680394478430367,20,0,0.9603081019533716,48,500.0,0.0,0.0,0.0008105426480223832,1294.4,76.21181010840773,0.09133501087025309,0.0008105426480223832,0.11556705205023358
2.6406,0.96210393967743,2.7190497678416996,20,0,0.961118644601394,49,500.0,0.0,0.0,0.0009852950760360635,1320.3,60.6869837774131,0.04720406155498935,0.0009852950760360635,0.11522974560636821
2.6446,0.9627924513459205,2.7275063409642146,20,0,0.96210393967743,50,500.0,0.0,0.0,0.000688511668490488,1322.3,40.45380081030706,0.15424713996531736,0.000688511668490488,0.11413350585857826
2.6484,0.963353710157047,2.7331259466039977,20,0,0.9627924513459205,51,500.0,0.0,0.0,0.0005612588111264527,1324.2,64.68353731823888,0.25491383326707506,0.0005612588111264527,0.11234173943585915
2.6558,0.9644501368451806,2.731286575956467,20,0,0.963353710157047,52,500.0,0.0,0.0,0.0010964266881335893,1327.9,83.47328914089823,0.24032480166566472,0.0010964266881335893,0.11067506660659829
2.5682,0.9653974618657767,2.6650232194110433,20,0,0.9644501368451806,53,500.0,0.0,0.0,0.0009473250205961348,1284.1,56.11586228509725,0.2628885975163655,0.0009473250205961348,0.10887674443131555
2.6528,0.9663167086387471,2.721663491322907,20,0,0.9653974618657767,54,500.0,0.0,0.0,0.0009192467729703946,1326.4,66.4096378547572,0.39645119796423955,0.0009192467729703946,0.10621329443448806
2.6678,0.9671093863066399,2.7336501531834685,20,0,0.9663167086387471,55,500.0,0.0,0.0,0.000792677667892816,1333.9,60.727176782722246,0.45903204788127994,0.000792677667892816,0.10320128617126748
2.665,0.9682411661616818,2.735648917533096,20,0,0.9671093863066399,56,500.0,0.0,0.0,0.00113177985504187,1332.5,63.767938652586224,0.36962074225909447,0.00113177985504187,0.10083114340805605
2.6916,0.9694682473498188,2.7671084980535183,20,0,0.9682411661616818,57,500.0,0.0,0.0,0.0012270811881370802,1345.8,71.29347796257383,0.23911087711951495,0.0012270811881370802,0.09932373374749247
2.6688,0.9708207219377231,2.7374269962868416,20,0,0.9694682473498188,58,500.0,0.0,0.0,0.0013524745879042177,1334.4,69.76704092908054,0.19903394415461406,0.0013524745879042177,0.09808430288128539
2.6794,0.9717258107523846,2.741170487218918,20,0,0.9708207219377231,59,500.0,0.0,0.0,0.0009050888146615588,1339.7,63.99773433489658,0.17606355271387386,0.0009050888146615588,0.0969994232207125
2.7098,0.9724523028251404,2.7798891992307895,20,0,0.9717258107523846,60,500.0,0.0,0.0,0.0007264920727557689,1354.9,89.84759317867118,0.316722015808633,0.0007264920727557689,0.09507476878526439
2.6512,0.9731653074584934,2.7369944391613226,20,0,0.9724523028251404,61,500.0,0.0,0.0,0.0007130046333529982,1325.6,85.78950984823261,0.23479619603617152,0.0007130046333529982,0.09367009136832155
2.7372,0.9734235237778516,2.7993813888071775,20,0,0.9731653074584934,62,500.0,0.0,0.0,0.00025821631935818434,1368.6,45.677565609388594,0.3107201885036588,0.00025821631935818434,0.09183981601532155
2.6936,0.9739170378167803,2.762411815787067,20,0,0.9734235237778516,63,500.0,0.0,0.0,0.0004935140389287218,1346.8,78.96176289825348,0.31072450832759557,0.0004935140389287218,0.0900417257661669
2.7096,0.9747026236045486,2.779436604781624,20,0,0.9739170378167803,64,500.0,0.0,0.0,0.0007855857877683281,1354.8,86.79032204111239,0.23789222330144355,0.0007855857877683281,0.08868660240046487
2.7078,0.9751182866841203,2.7744943971830254,20,0,0.9747026236045486,65,500.0,0.0,0.0,0.0004156630795716376,1353.9,68.45575213230806,0.2755137750323371,0.0004156630795716376,0.08714020078986237
2.6678,0.9755556490112267,2.75028056023381,20,0,0.9751182866841203,66,500.0,0.0,0.0,0.00043736232710644973,1333.9,78.3006385670002,0.1952599198745375,0.00043736232710644973,0.08605905762719274
2.7042,0.9760784973332887,2.7827508620068735,20,0,0.9755556490112267,67,500.0,0.0,0.0,0.0005228483220619529,1352.1,58.39340716211035,0.2059981319169495,0.0005228483220619529,0.08493164219784985
2.7328,0.976663638238866,2.7966773428481164,20,0,0.9760784973332887,68,500.0,0.0,0.0,0.0005851409055773749,1366.4,58.660378450876024,0.2819701826090295,0.0005851409055773749,0.08341016025530723
2.7168,0.9771725905412592,2.807097746784034,20,0,0.976663638238866,69,500.0,0.0,0.0,0.0005089523023931175,1358.4,51.1139902570715,0.3540047389519785,0.0005089523023931175,0.08153508469260766
2.6834,0.9777004324296025,2.759957325757049,20,0,0.9771725905412592,70,500.0,0.0,0.0,0.0005278418883433167,1341.7,58.4953844333038,0.48169955640558015,0.0005278418883433167,0.07904533516908281
2.699,0.9782193464203799,2.7744186778494697,20,0,0.9777004324296025,71,500.0,0.0,0.0,0.0005189139907774143,1349.5,69.59561767812683,0.5328787608937091,0.0005189139907774143,0.07637217512401522
2.732,0.9788925795017585,2.792879517630505,20,0,0.9782193464203799,72,500.0,0.0,0.0,0.0006732330813785659,1366.0,74.61367166947355,0.3910586893057726,0.0006732330813785659,0.07446347346633654
2.737,0.9794890749648872,2.800362655085945,20,0,0.9788925795017585,73,500.0,0.0,0.0,0.0005964954631287878,1368.5,86.68073603748414,0.43311635308908336,0.0005964954631287878,0.07240075750425615
