Iterations, Omega_mean, Omega_std, Omega_low, Omega_sup, Ret_mean, Ret_std, Rets_low, Rets_sup, Ts_mean, Ts_std, Ts_low, Ts_sup
8.980000000000000000e+02,3.091304582560187697e+00,2.330500049799797413e+00,1.424165277613089309e+00,4.758443887507286085e+00,1.693696057532867371e+03,3.483863370255385234e+02,1.444475485402128015e+03,1.942916629663606727e+03,1.828225700304951147e+02,2.583593196082751575e+01,1.643406576805963653e+02,2.013044823803938641e+02
9.080000000000000000e+02,3.083827856346554430e+00,2.346069764220690246e+00,1.405550648664760871e+00,4.762105064028347989e+00,1.708818951508936152e+03,3.452306679355489791e+02,1.461855809054621886e+03,1.955782093963250418e+03,1.843845917544488771e+02,2.477031182066577841e+01,1.666649781309369871e+02,2.021042053779607670e+02
9.180000000000000000e+02,3.078843021036939298e+00,2.363860925349570596e+00,1.387838783376686314e+00,4.769847258697192061e+00,1.702132151071249154e+03,3.351518008446736872e+02,1.462378995794570756e+03,1.941885306347927553e+03,1.836576255609292616e+02,2.318232137592026376e+01,1.670739918686527687e+02,2.002412592532057545e+02
9.280000000000000000e+02,3.075970966317101762e+00,2.377126841494429765e+00,1.375476863928835947e+00,4.776465068705367578e+00,1.692779516880205847e+03,3.319011807710841708e+02,1.455351715121797724e+03,1.930207318638613970e+03,1.827398266791695676e+02,2.288290907898134208e+01,1.663703796412354450e+02,1.991092737171036902e+02
9.380000000000000000e+02,3.072483884164167733e+00,2.385460429573467600e+00,1.366028291992197996e+00,4.778939476336137915e+00,1.702202702972999077e+03,3.283177206659096328e+02,1.467338354148032977e+03,1.937067051797965178e+03,1.838333140907444658e+02,2.216564943815083311e+01,1.679769636902395291e+02,1.996896644912494025e+02
9.480000000000000000e+02,3.068098990379377167e+00,2.394547603578872863e+00,1.355142825527048345e+00,4.781055155231705989e+00,1.691339137459659923e+03,3.385451070099609296e+02,1.449158557183631729e+03,1.933519717735688118e+03,1.825828374316190548e+02,2.364916091248053931e+01,1.656652468528924658e+02,1.995004280103456438e+02
9.580000000000000000e+02,3.067455173319800998e+00,2.403297239430698173e+00,1.348239896036298680e+00,4.786670450603303095e+00,1.675517646210708790e+03,3.277310609329621798e+02,1.441072968477151107e+03,1.909962323944266473e+03,1.811016099848411613e+02,2.282198020234006464e+01,1.647757488395843097e+02,1.974274711300980130e+02
9.680000000000000000e+02,3.065346468085356602e+00,2.404842632801998281e+00,1.345025682981281445e+00,4.785667253189432202e+00,1.690089013142473505e+03,3.335206904818541602e+02,1.451502683928208853e+03,1.928675342356738156e+03,1.826258965449252401e+02,2.318696923146915623e+01,1.660389379770839753e+02,1.992128551127665048e+02
9.780000000000000000e+02,3.064607809135704741e+00,2.404261516164338364e+00,1.344702729831543486e+00,4.784512888439865996e+00,1.687392827212492875e+03,3.279181468417653491e+02,1.452814316282066329e+03,1.921971338142919421e+03,1.823894829445350183e+02,2.249738460493122005e+01,1.662958235015263995e+02,1.984831423875436371e+02
9.880000000000000000e+02,3.064881555420028381e+00,2.396345254791136803e+00,1.350639428358512362e+00,4.779123682481544400e+00,1.680515451777211638e+03,3.325286561730698622e+02,1.442638781156677624e+03,1.918392122397745652e+03,1.814770667527087369e+02,2.318074884636543942e+01,1.648945579803090880e+02,1.980595755251083858e+02
9.980000000000000000e+02,3.067260333863443211e+00,2.395981576896413667e+00,1.353278366295459945e+00,4.781242301431426256e+00,1.697984524559753936e+03,3.355168507456164662e+02,1.457970228315418808e+03,1.937998820804089064e+03,1.832120865010780904e+02,2.275505739947866957e+01,1.669340990450138520e+02,1.994900739571423287e+02
1.008000000000000000e+03,3.068680089542391354e+00,2.391119040668627349e+00,1.358176570845399223e+00,4.779183608239383929e+00,1.707138175437582049e+03,3.278545986258815219e+02,1.472605124162249012e+03,1.941671226712915086e+03,1.841683680336765008e+02,2.133686616717045581e+01,1.689048934696053266e+02,1.994318425977476750e+02
1.018000000000000000e+03,3.065585915528799443e+00,2.392017868999871233e+00,1.354439413777786427e+00,4.776732417279812459e+00,1.717709698700749868e+03,3.214462534367386297e+02,1.487760901412198109e+03,1.947658495989301628e+03,1.852548146946329553e+02,1.992162617153676152e+01,1.710037418350186442e+02,1.995058875542472663e+02
1.028000000000000000e+03,3.061559044655550288e+00,2.397556548822390887e+00,1.346450410043637635e+00,4.776667679267463384e+00,1.721935428070998341e+03,3.183961225193612563e+02,1.494168562998251900e+03,1.949702293143744782e+03,1.856452393626929336e+02,1.902820726087747261e+01,1.720332798907273570e+02,1.992571988346585101e+02
1.038000000000000000e+03,3.059081472173727612e+00,2.402834105658149699e+00,1.340197500832797539e+00,4.777965443514657906e+00,1.711065838375905969e+03,3.208766618665310943e+02,1.481524502350674538e+03,1.940607174401137399e+03,1.845342155611884323e+02,1.965669723893964971e+01,1.704726614430940970e+02,1.985957696792827676e+02
1.048000000000000000e+03,3.060515934281796024e+00,2.409276071067478320e+00,1.337023658497395351e+00,4.784008210066196476e+00,1.714307957072767749e+03,3.240582694481353769e+02,1.482490636092004706e+03,1.946125278053530792e+03,1.847515849992015262e+02,1.958356920226290399e+01,1.707423435271626602e+02,1.987608264712403923e+02
1.058000000000000000e+03,3.063318938023461335e+00,2.412845899781836945e+00,1.337272960615176309e+00,4.789364915431746361e+00,1.705180064087255687e+03,3.243282859185189864e+02,1.473169584959682652e+03,1.937190543214828722e+03,1.838447620569286869e+02,1.967540483069941004e+01,1.697698253338752750e+02,1.979196987799820988e+02
1.068000000000000000e+03,3.068444030323127514e+00,2.419344158601163031e+00,1.337749478591770513e+00,4.799138582054484736e+00,1.699021629345479596e+03,3.189620288047268559e+02,1.470849939303374867e+03,1.927193319387584324e+03,1.834240290645597895e+02,1.927185718933299441e+01,1.696377729336387006e+02,1.972102851954808784e+02
1.078000000000000000e+03,3.073301702151175707e+00,2.424019765713304686e+00,1.339262422582627066e+00,4.807340981719724127e+00,1.690266224643079113e+03,3.237652176535896729e+02,1.458658540287346113e+03,1.921873908998812112e+03,1.825083435004063404e+02,2.005549213535196529e+01,1.681615086991048145e+02,1.968551783017078662e+02
1.088000000000000000e+03,3.074105168059053206e+00,2.432893801614974816e+00,1.333717785624573882e+00,4.814492550493532974e+00,1.696283449473347673e+03,3.260835243483814452e+02,1.463017348413379295e+03,1.929549550533316051e+03,1.831564734463772766e+02,2.009801455606916676e+01,1.687792199377578868e+02,1.975337269549966663e+02
1.098000000000000000e+03,3.070403628802805596e+00,2.444119767592945802e+00,1.321985674079996231e+00,4.818821583525615182e+00,1.705674743259063689e+03,3.315551872041090178e+02,1.468494450388206360e+03,1.942855036129921018e+03,1.840925140448666468e+02,2.024849232743560634e+01,1.696076152233079029e+02,1.985774128664253908e+02
1.108000000000000000e+03,3.061967624429930090e+00,2.453915399364188232e+00,1.306542296871393782e+00,4.817392951988466621e+00,1.703350875387298856e+03,3.262264487506896558e+02,1.469982532369110231e+03,1.936719218405487482e+03,1.839790741524204236e+02,1.955827975634876736e+01,1.699879236601639434e+02,1.979702246446769038e+02
1.118000000000000000e+03,3.055222674679632267e+00,2.467887540782963018e+00,1.289802279266229590e+00,4.820643070093034943e+00,1.701612116285827142e+03,3.293115487417587701e+02,1.466036825683472898e+03,1.937187406888181386e+03,1.837378279196803703e+02,1.947352348301356173e+01,1.698073084128770347e+02,1.976683474264837059e+02
1.128000000000000000e+03,3.049918039822663740e+00,2.481889216701549383e+00,1.274481448845990350e+00,4.825354630799337130e+00,1.674119523417812843e+03,3.442825728333879738e+02,1.427834607342329264e+03,1.920404439493296422e+03,1.808151568305612500e+02,2.245091265820899906e+01,1.647547414155734202e+02,1.968755722455490798e+02
1.138000000000000000e+03,3.042978360392050163e+00,2.494376938409061939e+00,1.258608591452293757e+00,4.827348129331806348e+00,1.688834260212526033e+03,3.486005432931980863e+02,1.439460454148918188e+03,1.938208066276133877e+03,1.824073933323416554e+02,2.222146911012871584e+01,1.665111119439993104e+02,1.983036747206840005e+02
1.148000000000000000e+03,3.035129193371791878e+00,2.507092255725746899e+00,1.241663434378166508e+00,4.828594952365417470e+00,1.684164431455054455e+03,3.542428590999956555e+02,1.430754355813488473e+03,1.937574507096620437e+03,1.817242601174295658e+02,2.267340456140327731e+01,1.655046835829731720e+02,1.979438366518859596e+02
1.158000000000000000e+03,3.029865656516243178e+00,2.519236136278141025e+00,1.227712688704399646e+00,4.832018624328086709e+00,1.691211525795104990e+03,3.523987261825251949e+02,1.439120663371546016e+03,1.943302388218663964e+03,1.825811970984605637e+02,2.189096822126339248e+01,1.669213418033914991e+02,1.982410523935296283e+02
