Traj,DualReg,Primal,NormDeltaOmega,NormDeltaVar,ITERATIONS,ReturnsMean,TimestepsMean,ReturnsStd,Epsilon,Eta,RewardStd,Wins,DeltaOmega,DualAfter,LossReg,TimestepsStd,OmegaBefore,WeightMean,WeightMax,Omega,WeightMedian,DualBefore,ConfortViolation,RewardMean,WeightMin
341,0.0001,8.921771842235668,0.009073788261710902,0.5369540642766629,538,1307.2773685714737,147.0264705882353,526.897910598175,0.001,5.434768532161772,0.5678901719008359,41.935483870967744,-0.009073788261710902,8.918829079439929,0.0,58.47429706251301,4.5004092209832045,0.18581384207261975,1.0,4.491335432721494,0.9642342324093487,8.928640629067717,0,8.891683017084233,0.18581384207261975
324,0.0001,9.022745951333716,0.004666987918912291,0.08212637615910408,568,1388.6998124376357,154.37770897832817,515.3382662051287,0.001,5.012783758266278,0.5335372664813197,47.53086419753087,-0.004666987918912291,9.020245051532324,0.0,56.55480148689241,4.272454398432294,0.1580194458209081,1.0,4.267787410513382,0.9606539778825366,9.028138801669995,0,8.99540963551521,0.1580194458209081
299,0.0001,9.099344236450422,0.0066576381879244195,0.00958897448640306,598,1520.8046103141667,167.54026845637583,456.27625802734923,0.001,4.1248010288056385,0.4604335104813298,58.52842809364549,-0.0066576381879244195,9.09765976938116,0.0,49.60305578845009,4.113351167783947,0.10440632810236206,1.0,4.106693529596023,0.9524826247704261,9.102393638057817,0,9.077486495171732,0.10440632810236206
314,0.0001,9.15740792894341,0.0037953469397598028,0.02613091684239938,628,1455.6043377412404,159.38338658146964,506.9996375699424,0.001,4.605950816069243,0.5025170067554107,53.503184713375795,-0.0037953469397598028,9.155298607781788,0.0,54.79016007393328,3.9540804521283675,0.13119455981493347,1.0,3.9502851051886076,0.962978322651493,9.161562545093709,0,9.132549368397346,0.13119455981493347
310,0.0001,9.212301040463649,0.0034927320258022476,0.09904125478692447,658,1485.858955758396,161.71844660194174,501.25746405015343,0.001,4.541734119985738,0.49978186266843105,53.87096774193548,-0.0034927320258022476,9.2102499972163,0.0,53.85875405055539,3.822870454345424,0.1259475380482116,1.0,3.8193777223196217,0.9621574741384947,9.216145516912356,0,9.18774043854619,0.1259475380482116
319,0.0001,9.239315523770864,0.0024710023639653578,0.03628456616534467,688,1447.1192521651267,157.0817610062893,510.96593920367604,0.001,4.892247234812536,0.5305778956227959,49.52978056426332,-0.0024710023639653578,9.23693170491157,0.0,54.74101041082661,3.739048725979583,0.14550312160419754,1.0,3.7365777236156177,0.9666184776330882,9.244059657266915,0,9.212490669018699,0.14550312160419754
356,0.0001,9.265926852324355,0.0030794185835789634,0.0699573856297928,718,1299.3566281846317,140.743661971831,568.4523966807257,0.001,5.917141366998025,0.6230772832717433,37.640449438202246,-0.0030794185835789634,9.26243401791318,0.0,60.75143708355155,3.649028124882664,0.20203646732548272,1.0,3.645948706299085,0.9723518300693474,9.2739893208868,0,9.231967423894833,0.20203646732548272
321,0.0001,9.314411753543407,0.004648390417787418,0.36597936557278926,748,1450.3279253435721,156.1625,521.6808984938294,0.001,4.950766148309371,0.5379124725419344,49.22118380062305,-0.004648390417787418,9.311973006886092,0.0,55.42465465611851,3.536078121782176,0.14627061365470165,1.0,3.5314297313643888,0.9650560192185605,9.31924919550587,0,9.287127856252773,0.14627061365470165
313,0.0001,9.349730236300969,0.0026385177328953624,0.024673863059885528,778,1491.8543734906204,160.0096153846154,512.7302722711646,0.001,4.730645493528881,0.5212893975884412,51.43769968051119,-0.0026385177328953624,9.347506181220103,0.0,54.24957081107098,3.447769296105719,0.132624429971796,1.0,3.4451307783728238,0.9620150635060909,9.353799607998427,0,9.323780499442254,0.132624429971796
328,0.0001,9.366760681515743,0.002868297964857991,0.04227599246045498,808,1426.9057720108544,152.81345565749234,523.57039001318,0.001,5.2394877218768485,0.5658938541304315,45.426829268292686,-0.002868297964857991,9.364026781941948,0.0,55.22779130198064,3.385958139129091,0.16104233323265846,1.0,3.383089841164233,0.9673785398817916,9.372232065412273,0,9.337443706049267,0.16104233323265846
292,0.0001,9.406273549959021,0.0035348643901396137,0.05390395729617162,838,1606.4104537567987,171.13058419243987,472.9032471053804,0.001,3.5672848776433623,0.42566652459427035,66.0958904109589,-0.0035348643901396137,9.405024444572362,0.0,49.688066071925135,3.3073937429721156,0.06814128125954903,1.0,3.303858878581976,0.9567426951283585,9.408110275214236,0,9.38723531429821,0.06814128125954903
313,0.0001,9.426530714780936,0.0033963409455561866,0.04468305718054908,868,1504.7745791469554,160.07692307692307,498.82361898428155,0.001,4.747161823152686,0.5252399970969122,51.43769968051119,-0.0033963409455561866,9.424291419402818,0.0,52.26130578965893,3.2166132229952527,0.13245785859290593,1.0,3.2132168820496965,0.9697680558843125,9.430563482656233,0,9.400384141629182,0.13245785859290593
377,0.0001,9.421471182157559,0.0008158950133321241,0.006291907984487221,898,1244.3310635045048,132.63829787234042,545.3578001342665,0.001,6.715963311644951,0.7025216382158909,27.320954907161806,-0.0008158950133321241,9.416967383516843,0.0,57.27664316649423,3.172061057647197,0.23933174993363868,1.0,3.171245162633865,0.9789636429188493,9.432852447563722,0,9.38122721005451,0.23933174993363868
410,0.0001,9.41450130097293,0.0005330592239038978,0.010586571939737721,928,1143.3120535701148,122.04156479217603,535.0283586984282,0.001,7.396999582585757,0.7678851277517665,19.75609756097561,-0.0005330592239038978,9.409035223759009,0.0,56.3051911992725,3.1622363248563454,0.27257053545314464,1.0,3.1617032656324415,0.9792502972573849,9.429813747509433,0,9.368677707507215,0.27257053545314464
434,0.0001,9.415890802261407,0.0009809709755281837,0.008225803616071621,958,1080.2485906727509,115.34411085450347,502.0094882543353,0.001,7.930506528864943,0.8210228088393695,13.36405529953917,-0.0009809709755281837,9.409606272373258,0.0,52.78632966277497,3.137405626884579,0.2973916790192609,1.0,3.136424655909051,0.9811520761129232,9.434733395406344,0,9.365419212455429,0.2973916790192609
486,0.0001,9.415780013311894,0.0014355051283083675,0.1781618463949087,988,964.5459107483517,103.05360824742269,465.7207785485657,0.001,8.550943781436114,0.8842039326572938,9.876543209876543,-0.0014355051283083675,9.40847178226352,0.0,48.94437419490688,3.1099311732437487,0.3244565212072472,1.0,3.1084956681154403,0.9825816422250613,9.439473394650053,0,9.359625623989125,0.3244565212072472
515,0.0001,9.422716138730436,0.001214277414486542,0.12054386615661429,1018,909.4547304428974,97.14007782101167,451.17194662984565,0.001,8.989816445865443,0.9300478805023322,6.213592233009709,-0.001214277414486542,9.414638166583577,0.0,47.44654814349768,3.069508884747519,0.3420886008644799,1.0,3.0682946073330326,0.9828429917438071,9.450310107988763,0,9.3623522590218,0.3420886008644799
505,0.0001,9.431207277363281,0.0017446507630727304,0.10576652635337594,1048,927.9235543427883,99.00992063492063,449.3639574469016,0.001,8.86831494647655,0.9175520349185365,7.128712871287128,-0.0017446507630727304,9.42334539721057,0.0,47.157052494761594,3.0416921937544403,0.33677145574116363,1.0,3.0399475429913676,0.9824063258805706,9.45768551675683,0,9.372011806528826,0.33677145574116363
584,0.0001,9.428465225747395,0.0013760288828490452,0.1159297116882026,1078,802.5769599044456,85.73927958833619,412.09247781082775,0.001,9.721365925457889,1.0082163087800098,2.73972602739726,-0.0013760288828490452,9.419016959876021,0.0,43.356323528125834,3.000643201785369,0.36963268232520063,1.0,2.99926717290252,0.9825859540832291,9.463464544132076,0,9.360741952835712,0.36963268232520063
611,0.0001,9.44641635259911,0.0013205405561351746,0.015565201740241352,1108,767.539120280693,81.85737704918033,400.9309648619688,0.001,9.912624947689766,1.0296847819152244,3.436988543371522,-0.0013205405561351746,9.436593252863634,0.0,42.01507519854988,2.93524992860314,0.376872964841889,1.0,2.9339293880470048,0.9851378795232918,9.483334355548141,0,9.376671859151656,0.376872964841889
614,0.0001,9.467821857793929,0.0010337217096001439,0.08033116004165979,1138,765.8294263624043,81.49755301794454,386.19529598698074,0.001,10.0258877762694,1.0427356836695498,1.9543973941368076,-0.0010337217096001439,9.457772967415194,0.0,40.42045026821245,2.855930749095541,0.38035618836712026,1.0,2.854897027385941,0.9858101008790712,9.505927251338187,0,9.39685514585613,0.38035618836712026
727,0.0001,9.469857696778572,0.0023602713839623313,0.04397685574560985,1168,646.6374320302167,68.86914600550965,355.13251985572464,0.001,10.908815833412561,1.1408586011879047,0.8253094910591471,-0.0023602713839623313,9.45795994379026,0.0,37.1806802980387,2.7833286719393815,0.410496582787923,1.0,2.780968400555419,0.9866177900973858,9.519177169448017,0,9.389235996812248,0.410496582787923
